DIMACS2
16 1
 2
 3
 4
 5
 6
 7
 8
 9
 10
 11
 12
 13
 14
 15 16

p edge 80 350
e 1 15 297
e 1 20 197
e 1 28 200
e 1 43 196
e 1 50 196
e 1 53 200
e 1 55 199
e 1 57 200
e 1 58 205
e 1 68 197
e 1 72 207
e 2 12 295
e 2 14 300
e 2 19 196
e 2 37 197
e 2 50 192
e 2 57 206
e 2 65 196
e 2 79 199
e 3 4 309
e 3 5 305
e 3 22 197
e 3 25 203
e 3 34 195
e 3 46 201
e 3 55 197
e 3 56 202
e 3 58 197
e 3 66 198
e 3 72 211
e 3 73 201
e 3 80 198
e 4 17 206
e 4 37 202
e 4 47 195
e 4 59 200
e 4 73 196
e 4 76 202
e 5 6 298
e 5 10 292
e 5 12 297
e 5 25 198
e 5 30 199
e 5 42 199
e 5 43 192
e 5 45 202
e 5 63 196
e 5 77 205
e 6 18 206
e 6 37 199
e 6 43 200
e 6 48 197
e 6 57 195
e 6 71 195
e 6 72 201
e 6 74 199
e 6 79 204
e 7 24 204
e 7 25 203
e 7 29 195
e 7 42 206
e 7 49 199
e 7 78 205
e 7 80 204
e 8 19 205
e 8 24 205
e 8 41 195
e 8 42 189
e 8 44 206
e 8 53 199
e 9 11 299
e 9 22 204
e 9 41 199
e 9 45 194
e 9 46 200
e 9 47 205
e 9 53 201
e 9 56 210
e 10 16 300
e 10 31 201
e 10 40 189
e 10 60 203
e 10 79 201
e 11 12 302
e 11 41 197
e 11 49 199
e 11 58 199
e 12 32 200
e 12 35 208
e 12 41 193
e 12 57 201
e 12 60 208
e 12 66 209
e 12 74 194
e 12 77 202
e 13 19 200
e 13 21 202
e 13 50 199
e 13 57 183
e 13 68 197
e 13 76 209
e 14 22 194
e 14 33 198
e 14 38 194
e 14 41 198
e 14 62 201
e 14 75 196
e 14 78 207
e 15 19 196
e 15 26 201
e 15 48 188
e 15 68 208
e 15 72 196
e 16 17 198
e 16 28 195
e 16 33 207
e 16 39 202
e 16 40 192
e 16 41 195
e 16 46 201
e 16 49 208
e 16 52 202
e 16 59 194
e 16 70 197
e 16 72 201
e 16 76 200
e 16 77 206
e 16 78 194
e 17 21 84
e 17 34 94
e 17 40 88
e 17 44 95
e 17 63 102
e 17 69 104
e 17 80 98
e 18 26 92
e 18 28 99
e 18 29 100
e 18 37 101
e 18 41 88
e 18 43 90
e 18 61 102
e 18 62 99
e 18 67 97
e 19 37 91
e 19 53 104
e 19 59 99
e 19 72 98
e 20 27 98
e 20 28 93
e 20 29 104
e 20 42 91
e 20 63 94
e 20 66 105
e 20 69 99
e 20 71 101
e 20 78 102
e 20 80 92
e 21 29 108
e 21 40 94
e 21 45 95
e 21 56 102
e 21 66 99
e 21 67 97
e 21 69 95
e 22 30 110
e 22 32 106
e 22 36 96
e 22 51 92
e 22 73 96
e 23 45 95
e 23 55 107
e 23 57 102
e 23 79 93
e 24 29 98
e 24 33 93
e 24 44 96
e 24 58 101
e 24 63 102
e 24 73 98
e 24 76 104
e 24 78 103
e 25 30 104
e 25 40 95
e 25 53 99
e 25 58 104
e 26 27 93
e 26 31 97
e 26 33 110
e 26 57 97
e 26 58 99
e 26 67 100
e 26 73 103
e 26 78 104
e 27 39 104
e 27 45 98
e 27 48 101
e 27 50 102
e 28 36 94
e 28 38 107
e 28 44 100
e 28 71 102
e 29 35 94
e 29 36 85
e 29 55 90
