DIMACS2
20 1
 2
 3
 4
 5
 6
 7
 8
 9
 10
 11
 12
 13
 14
 15 16
 17
 18
 19
 20

p edge 80 350
e 1 9 304
e 1 10 292
e 1 12 300
e 1 20 300
e 1 23 197
e 1 25 195
e 1 35 202
e 1 42 212
e 1 44 194
e 1 46 198
e 1 47 209
e 1 66 203
e 1 67 196
e 1 69 199
e 2 5 306
e 2 10 300
e 2 30 198
e 2 39 202
e 2 40 201
e 2 50 202
e 2 66 199
e 2 69 200
e 2 73 197
e 3 15 299
e 3 24 195
e 3 32 201
e 3 33 203
e 3 36 192
e 3 47 201
e 3 54 203
e 3 68 204
e 3 73 196
e 4 13 299
e 4 19 296
e 4 23 200
e 4 25 203
e 4 33 192
e 4 61 199
e 4 65 197
e 4 66 196
e 5 10 298
e 5 21 209
e 5 31 196
e 5 47 198
e 5 52 207
e 5 67 195
e 5 73 195
e 5 75 202
e 5 76 205
e 6 10 301
e 6 15 297
e 6 22 199
e 6 28 202
e 6 41 196
e 6 66 196
e 6 69 192
e 6 72 194
e 7 16 299
e 7 18 294
e 7 28 199
e 7 37 207
e 7 50 202
e 7 54 204
e 7 74 194
e 7 76 204
e 8 9 301
e 8 13 301
e 8 18 306
e 8 29 206
e 8 38 202
e 8 43 206
e 8 67 197
e 8 73 205
e 8 75 200
e 9 21 207
e 9 39 189
e 9 40 193
e 9 42 198
e 9 45 195
e 9 54 204
e 9 62 203
e 9 75 206
e 9 77 202
e 9 78 207
e 10 15 297
e 10 17 306
e 10 22 185
e 10 23 198
e 10 33 198
e 10 36 195
e 10 48 201
e 10 50 201
e 10 53 197
e 10 71 202
e 11 35 199
e 11 80 197
e 12 22 204
e 12 23 208
e 12 26 206
e 12 30 196
e 12 31 197
e 12 48 203
e 12 65 212
e 12 78 205
e 13 20 299
e 13 25 201
e 13 28 195
e 13 33 202
e 13 37 193
e 13 38 202
e 13 40 198
e 13 54 202
e 13 55 199
e 13 62 198
e 13 70 207
e 14 24 197
e 14 30 197
e 14 32 205
e 14 34 198
e 14 37 189
e 14 38 200
e 14 47 202
e 14 59 197
e 14 63 204
e 14 69 212
e 15 29 200
e 15 41 200
e 15 46 195
e 15 57 192
e 15 75 200
e 15 80 194
e 16 18 295
e 16 36 197
e 16 42 203
e 16 53 202
e 16 62 189
e 16 75 206
e 17 29 195
e 17 32 205
e 17 35 201
e 17 75 203
e 17 77 195
e 17 80 194
e 18 26 208
e 18 31 205
e 18 53 201
e 19 27 195
e 19 35 198
e 19 41 200
e 19 42 211
e 19 51 198
e 19 53 204
e 19 65 196
e 20 25 196
e 20 29 205
e 20 37 199
e 20 38 206
e 20 45 203
e 20 49 202
e 20 63 203
e 20 80 195
e 21 24 101
e 21 43 100
e 21 67 95
e 21 75 104
e 22 26 100
e 22 33 100
e 22 34 107
e 22 37 106
e 22 59 92
e 22 62 106
e 22 78 106
e 23 28 100
e 23 41 101
e 23 43 101
e 23 45 99
e 23 57 107
e 23 65 106
e 23 68 100
e 23 73 95
e 24 30 87
e 24 42 99
e 24 47 98
e 24 53 96
e 24 55 97
e 24 63 105
e 24 64 98
e 24 68 102
e 24 69 97
e 24 74 97
e 25 43 100
e 25 74 96
e 25 78 96
e 26 37 88
e 26 43 98
e 26 45 97
e 26 52 99
e 26 72 99
e 26 73 103
e 27 28 98
e 27 29 104
e 27 48 115
e 27 55 106
e 27 77 98
e 28 29 97
e 28 39 99
e 28 47 111
e 28 50 100
e 28 68 95
e 29 32 90
e 29 34 102
e 29 51 99
e 29 58 96
e 29 64 95
e 30 32 92
e 30 33 101
e 30 40 103
e 30 51 95
e 30 54 109
e 30 69 104
e 30 71 94
e 30 79 95
e 31 44 103
e 31 65 104
e 31 67 95
e 33 35 102
e 33 38 101
e 33 47 99
e 33 70 97
e 34 38 93
e 34 48 104
e 34 70 99
e 34 71 95
e 35 42 110
e 35 52 98
e 35 62 100
e 35 63 98
e 36 43 100
e 36 56 102
e 36 63 93
e 36 65 100
e 36 67 94
e 36 70 101
e 36 72 94
e 37 45 100
e 37 47 104
e 37 53 106
e 37 58 105
e 37 79 93
e 38 45 97
e 38 48 99
e 38 54 99
e 38 74 95
e 38 75 101
e 39 58 99
e 39 65 107
e 39 68 94
e 40 51 93
e 40 61 95
e 40 63 108
e 40 75 96
e 40 76 102
e 41 49 92
e 41 52 110
e 41 54 92
e 41 59 108
e 41 62 91
e 41 77 98
e 42 45 103
e 42 52 102
e 42 58 98
e 42 67 104
e 42 68 95
e 42 71 101
e 43 45 94
e 43 49 99
e 43 50 97
e 43 67 98
e 44 54 93
e 44 55 91
e 44 72 94
e 44 75 96
e 44 77 106
e 45 53 104
e 45 56 104
e 46 61 97
e 46 68 99
e 46 70 111
e 46 79 96
e 47 53 98
e 47 80 102
e 48 51 100
e 48 63 95
e 48 76 101
e 48 77 104
e 48 78 95
e 49 55 103
e 49 66 104
e 49 76 108
e 50 51 99
e 50 52 95
e 50 53 102
e 50 68 95
e 52 58 92
e 52 60 100
e 52 74 98
e 52 77 94
e 53 54 104
e 53 67 96
e 53 68 110
e 53 71 103
e 54 55 106
e 54 56 103
e 54 64 97
e 54 71 104
e 55 58 103
e 55 59 102
e 55 61 106
e 55 65 93
e 55 66 99
e 55 69 98
e 56 68 103
e 57 76 106
e 58 63 100
e 58 69 93
e 59 67 100
e 59 69 99
e 59 74 102
e 60 63 97
e 60 75 100
e 60 78 102
e 61 75 105
e 61 79 100
e 62 65 89
e 63 73 99
e 63 76 94
e 66 72 101
e 67 70 108
e 67 77 100
e 69 70 91
e 69 74 103
e 69 77 118
e 70 76 93
e 71 80 93
e 72 78 102
e 74 78 102
e 74 79 104
e 74 80 99
e 76 79 97
e 77 78 98
