DIMACS2
20 1
 2
 3
 4
 5
 6
 7
 8
 9
 10
 11
 12
 13
 14
 15 16
 17
 18
 19
 20
p edge 80 632
e 1 7 305
e 1 9 292
e 1 11 298
e 1 15 300
e 1 20 304
e 1 22 199
e 1 24 200
e 1 27 200
e 1 30 200
e 1 34 201
e 1 39 205
e 1 40 200
e 1 45 195
e 1 49 198
e 1 53 194
e 1 58 200
e 1 59 192
e 1 62 203
e 1 66 198
e 1 68 204
e 2 4 299
e 2 7 306
e 2 8 300
e 2 15 305
e 2 17 300
e 2 20 302
e 2 32 198
e 2 35 197
e 2 36 203
e 2 47 192
e 2 48 205
e 2 56 200
e 2 57 198
e 2 60 199
e 2 62 206
e 2 64 204
e 2 65 199
e 3 4 303
e 3 10 298
e 3 11 311
e 3 21 196
e 3 27 199
e 3 32 195
e 3 43 199
e 3 64 194
e 4 8 300
e 4 9 298
e 4 10 299
e 4 11 296
e 4 12 299
e 4 15 304
e 4 18 307
e 4 25 198
e 4 37 195
e 4 38 199
e 4 40 203
e 4 46 193
e 4 60 193
e 4 61 188
e 4 66 202
e 4 71 199
e 4 74 202
e 4 75 193
e 5 16 310
e 5 18 305
e 5 19 311
e 5 31 201
e 5 37 197
e 5 46 197
e 5 55 201
e 5 60 199
e 5 67 206
e 5 74 192
e 5 78 207
e 6 18 300
e 6 33 198
e 6 42 201
e 6 45 192
e 6 51 194
e 6 53 207
e 6 58 209
e 6 68 209
e 6 69 200
e 6 71 209
e 6 74 198
e 6 77 207
e 7 8 302
e 7 15 295
e 7 18 304
e 7 23 195
e 7 37 200
e 7 40 198
e 7 45 199
e 7 48 191
e 7 54 201
e 7 67 210
e 7 68 201
e 7 73 197
e 8 15 305
e 8 24 204
e 8 30 201
e 8 31 202
e 8 32 198
e 8 36 191
e 8 38 202
e 8 40 199
e 8 47 203
e 8 54 198
e 8 56 194
e 8 65 195
e 8 66 201
e 8 68 202
e 8 75 202
e 8 79 193
e 9 15 300
e 9 21 200
e 9 25 201
e 9 27 203
e 9 28 194
e 9 34 200
e 9 38 208
e 9 40 200
e 9 44 200
e 9 46 197
e 9 48 205
e 9 59 201
e 9 66 186
e 9 69 204
e 9 71 198
e 9 73 198
e 9 74 202
e 9 77 214
e 10 17 305
e 10 19 310
e 10 22 203
e 10 26 196
e 10 28 199
e 10 38 195
e 10 39 204
e 10 49 200
e 10 51 200
e 10 61 202
e 10 65 201
e 10 78 195
e 11 23 201
e 11 45 202
e 11 52 208
e 11 54 199
e 11 55 203
e 11 57 202
e 11 60 203
e 11 70 196
e 11 75 201
e 11 76 200
e 11 77 196
e 11 78 193
e 11 80 191
e 12 20 295
e 12 25 193
e 12 26 200
e 12 33 201
e 12 37 205
e 12 41 200
e 12 44 192
e 12 45 195
e 12 49 213
e 12 50 210
e 12 53 204
e 12 58 195
e 12 61 202
e 12 68 213
e 12 71 197
e 12 73 205
e 12 80 195
e 13 17 303
e 13 33 197
e 13 36 202
e 13 42 200
e 13 48 203
e 13 58 198
e 13 60 196
e 13 62 201
e 13 63 199
e 13 65 199
e 13 73 210
e 13 77 197
e 13 78 201
e 13 80 207
e 14 17 292
e 14 22 205
e 14 39 211
e 14 46 195
e 14 52 204
e 14 55 195
e 14 58 201
e 14 64 203
e 14 70 202
e 14 76 197
e 14 80 199
e 15 23 201
e 15 30 191
e 15 32 203
e 15 38 200
e 15 39 210
e 15 41 197
e 15 43 198
e 15 44 196
e 15 46 199
e 15 51 207
e 15 59 200
e 15 63 203
e 15 68 194
e 15 71 204
e 15 80 193
e 16 18 297
e 16 33 203
e 16 45 206
e 16 47 199
e 16 49 204
e 16 50 203
e 16 55 203
e 16 56 205
e 16 69 192
e 16 71 192
e 16 75 206
e 16 77 203
e 16 78 201
e 17 18 305
e 17 23 195
e 17 28 201
e 17 29 202
e 17 37 198
e 17 42 198
e 17 53 200
e 17 56 190
e 17 62 203
e 17 73 206
e 17 76 200
e 17 80 195
e 18 22 203
e 18 28 199
e 18 37 200
e 18 49 203
e 18 54 202
e 18 55 200
e 18 64 197
e 18 66 204
e 18 68 205
e 18 70 203
e 19 22 198
e 19 53 203
e 19 57 188
e 19 60 206
e 19 65 196
e 19 70 203
e 19 73 192
e 19 77 201
e 20 24 196
e 20 27 198
e 20 42 200
e 20 43 202
e 20 64 195
e 20 70 199
e 21 22 103
e 21 23 95
e 21 24 99
e 21 28 112
e 21 31 95
e 21 32 94
e 21 36 98
e 21 41 98
e 21 42 93
e 21 44 99
e 21 63 98
e 21 64 97
e 21 67 96
e 21 71 87
e 21 74 97
e 21 76 91
e 21 78 99
e 21 80 93
e 22 27 97
e 22 29 93
e 22 33 95
e 22 34 102
e 22 35 92
e 22 42 98
e 22 46 93
e 22 67 103
e 22 68 94
e 23 24 104
e 23 28 89
e 23 29 98
e 23 34 99
e 23 37 91
e 23 38 95
e 23 39 98
e 23 42 94
e 23 43 106
e 23 46 101
e 23 67 95
e 23 73 103
e 23 76 110
e 23 77 96
e 23 78 100
e 24 27 106
e 24 29 91
e 24 33 101
e 24 39 98
e 24 42 102
e 24 43 101
e 24 44 99
e 24 46 98
e 24 49 97
e 24 51 107
e 24 53 101
e 24 63 100
e 24 71 96
e 24 76 104
e 24 77 96
e 25 27 101
e 25 34 107
e 25 43 104
e 25 45 102
e 25 46 92
e 25 56 107
e 25 60 90
e 25 65 103
e 25 72 106
e 25 76 102
e 25 79 98
e 26 33 111
e 26 38 100
e 26 62 93
e 26 63 96
e 26 64 109
e 26 65 105
e 27 36 92
e 27 42 98
e 27 43 104
e 27 55 99
e 27 57 100
e 27 59 101
e 27 63 102
e 27 65 95
e 27 66 94
e 27 69 101
e 27 72 110
e 27 77 109
e 27 79 103
e 28 33 101
e 28 45 94
e 28 47 102
e 28 49 103
e 28 51 98
e 28 53 96
e 28 54 106
e 28 58 110
e 28 68 99
e 28 72 92
e 28 73 103
e 29 35 100
e 29 37 96
e 29 38 102
e 29 45 98
e 29 56 96
e 29 57 100
e 29 61 95
e 29 70 111
e 29 73 107
e 29 75 102
e 29 76 104
e 29 79 102
e 29 80 90
e 30 40 97
e 30 42 97
e 30 49 104
e 30 53 92
e 30 64 100
e 30 65 103
e 30 67 88
e 30 71 101
e 30 80 98
e 31 35 103
e 31 36 108
e 31 37 96
e 31 40 101
e 31 44 104
e 31 45 94
e 31 52 101
e 31 53 104
e 31 75 96
e 32 35 104
e 32 36 112
e 32 42 99
e 32 43 97
e 32 44 99
e 32 45 104
e 32 47 96
e 32 48 94
e 32 61 104
e 32 68 103
e 32 70 96
e 32 71 91
