DIMACS2
24 1
 2
 3
 4
 5
 6
 7
 8
 9
 10
 11
 12
 13
 14
 15 16
 17
 18
 19
 20
 21
 22
 23
 24

p edge 160 240
e 1 25 202
e 1 87 203
e 1 109 200
e 1 141 199
e 1 143 205
e 1 149 193
e 1 153 197
e 2 157 193
e 3 69 196
e 3 96 199
e 4 30 196
e 4 80 200
e 4 150 204
e 5 83 199
e 5 157 197
e 6 29 195
e 6 56 198
e 6 144 202
e 7 79 197
e 7 102 202
e 7 126 205
e 8 107 206
e 8 132 203
e 8 153 188
e 9 52 200
e 9 60 204
e 9 62 200
e 9 98 200
e 9 137 192
e 9 140 207
e 10 75 193
e 10 94 202
e 11 28 201
e 11 60 208
e 11 87 195
e 11 91 198
e 11 102 202
e 11 117 204
e 11 123 201
e 11 155 198
e 12 66 191
e 13 30 200
e 13 70 203
e 13 71 203
e 14 157 208
e 15 18 307
e 15 68 202
e 15 105 196
e 15 110 197
e 16 120 190
e 16 147 209
e 17 66 206
e 17 93 206
e 18 26 189
e 18 111 201
e 18 116 196
e 18 149 208
e 19 75 204
e 19 85 205
e 20 42 203
e 21 124 204
e 22 153 195
e 23 69 202
e 23 79 195
e 24 36 198
e 24 102 201
e 24 120 196
e 25 58 109
e 25 73 94
e 25 115 98
e 26 120 101
e 27 140 105
e 28 69 103
e 28 104 98
e 28 120 98
e 29 44 94
e 31 92 96
e 31 104 98
e 32 33 91
e 32 68 97
e 33 89 91
e 33 143 97
e 34 61 96
e 34 78 90
e 34 103 102
e 34 113 100
e 35 70 95
e 35 122 101
e 36 46 95
e 36 148 98
e 36 153 95
e 37 64 98
e 38 41 103
e 38 114 87
e 39 55 101
e 39 121 100
e 40 104 94
e 40 144 108
e 41 82 100
e 42 67 101
e 42 74 100
e 43 128 96
e 43 153 97
e 43 155 94
e 44 109 101
e 44 114 95
e 44 126 99
e 45 89 97
e 46 67 102
e 46 94 92
e 47 67 96
e 47 129 109
e 48 77 102
e 48 92 100
e 48 96 97
e 49 56 103
e 49 72 105
e 49 107 100
e 49 146 92
e 50 55 106
e 51 76 97
e 51 114 104
e 52 83 99
e 53 116 99
e 53 122 106
e 53 135 93
e 53 149 106
e 54 81 99
e 54 140 96
e 55 70 98
e 55 83 94
e 55 84 95
e 55 86 89
e 56 98 97
e 56 101 103
e 56 107 97
e 56 131 99
e 57 80 101
e 58 122 90
e 59 92 106
e 59 95 99
e 60 85 99
e 60 109 97
e 61 96 104
e 61 138 107
e 62 74 101
e 63 74 97
e 64 75 103
e 65 160 99
e 66 70 99
e 66 99 99
e 67 150 97
e 67 155 92
e 68 90 105
e 68 123 94
e 68 138 97
e 69 119 99
e 69 129 102
e 70 136 103
e 70 148 103
e 71 73 99
e 71 132 101
e 72 132 94
e 74 132 98
e 74 152 102
e 74 155 97
e 75 144 107
e 75 148 95
e 77 84 92
e 77 128 96
e 78 80 100
e 78 105 105
e 79 143 96
e 81 89 101
e 81 106 107
e 82 153 108
e 83 88 96
e 83 92 103
e 84 118 94
e 85 105 106
e 85 106 97
e 85 139 103
e 87 121 98
e 87 130 93
e 87 131 93
e 87 134 97
e 88 101 103
e 88 125 99
e 88 154 98
e 90 92 99
e 90 133 95
e 92 96 102
e 92 153 93
e 93 125 95
e 94 107 103
e 94 118 99
e 94 119 101
e 94 141 100
e 94 147 102
e 97 140 97
e 99 150 105
e 100 107 97
e 100 125 111
e 101 119 101
e 101 142 101
e 101 159 109
e 102 147 107
e 103 112 105
e 105 154 94
e 106 149 93
e 108 120 100
e 108 157 100
e 109 114 97
e 112 124 97
e 112 148 99
e 114 123 102
e 115 127 99
e 116 135 100
e 122 130 106
e 122 134 94
e 122 156 99
e 123 130 102
e 123 138 99
e 124 143 105
e 126 151 96
e 126 154 94
e 127 141 97
e 127 156 100
e 128 131 101
e 132 145 96
e 137 157 99
e 140 148 108
e 141 160 93
e 143 148 99
e 144 152 97
e 144 158 100
e 146 147 92
e 148 155 99
e 149 155 96
e 151 157 95
