DIMACS2
40 1
 2
 3
 4
 5
 6
 7
 8
 9
 10
 11
 12
 13
 14
 15 16
 17
 18
 19
 20
 21
 22
 23
 24
 25
 26
 27
 28
 29
 30 31
 32
 33
 34
 35
 36
 37
 38
 39
 40

p edge 160 812
e 1 10 294
e 1 17 295
e 1 33 292
e 1 36 299
e 1 42 189
e 1 48 204
e 1 60 193
e 1 71 197
e 1 79 193
e 1 84 204
e 1 121 199
e 1 141 200
e 1 147 202
e 1 150 199
e 1 158 198
e 2 17 300
e 2 21 303
e 2 77 207
e 2 80 202
e 2 86 194
e 2 89 203
e 2 101 204
e 2 115 200
e 2 128 197
e 2 131 199
e 2 139 199
e 2 143 201
e 2 144 205
e 3 4 300
e 3 6 304
e 3 26 305
e 3 36 301
e 3 41 191
e 3 44 195
e 3 78 192
e 3 83 203
e 3 101 209
e 3 133 197
e 3 140 197
e 3 154 204
e 3 155 200
e 4 17 298
e 4 31 299
e 4 38 302
e 4 67 189
e 4 90 189
e 4 111 197
e 4 138 201
e 4 153 191
e 5 31 304
e 5 34 306
e 5 35 296
e 5 41 204
e 5 43 196
e 5 55 201
e 5 80 209
e 5 109 199
e 5 116 197
e 5 120 202
e 5 158 198
e 6 8 297
e 6 15 304
e 6 35 296
e 6 47 205
e 6 59 204
e 6 78 196
e 7 10 301
e 7 25 297
e 7 28 298
e 7 29 299
e 7 40 289
e 7 45 200
e 7 54 189
e 7 55 191
e 7 80 203
e 7 142 208
e 8 33 299
e 8 83 201
e 8 89 194
e 8 102 211
e 8 140 202
e 9 22 297
e 9 24 303
e 9 45 204
e 9 63 191
e 9 65 196
e 9 69 204
e 9 110 197
e 9 113 201
e 9 120 200
e 9 124 206
e 9 129 202
e 10 20 300
e 10 21 297
e 10 36 309
e 10 55 209
e 10 99 196
e 10 114 194
e 10 134 205
e 10 142 203
e 10 143 205
e 10 149 203
e 11 15 297
e 11 33 295
e 11 34 303
e 11 38 294
e 11 43 198
e 11 75 206
e 11 117 202
e 11 120 193
e 11 125 197
e 11 126 195
e 11 151 204
e 11 156 203
e 12 20 296
e 12 36 300
e 12 60 199
e 12 88 200
e 12 92 199
e 12 133 195
e 12 147 197
e 13 43 197
e 13 67 202
e 13 68 191
e 13 69 198
e 13 100 204
e 13 106 204
e 13 108 206
e 13 150 208
e 13 157 193
e 14 34 296
e 14 41 196
e 14 77 205
e 14 94 193
e 14 105 196
e 14 111 208
e 14 115 197
e 15 36 300
e 15 52 209
e 15 61 199
e 15 91 200
e 15 102 198
e 15 106 201
e 15 121 197
e 15 129 198
e 15 130 204
e 15 134 198
e 15 136 199
e 15 143 208
e 15 145 203
e 15 148 196
e 16 32 295
e 16 34 299
e 16 57 198
e 16 62 200
e 16 73 194
e 16 82 191
e 16 84 205
e 16 89 219
e 16 101 203
e 16 116 193
e 16 158 201
e 17 23 298
e 17 26 309
e 17 30 288
e 17 32 304
e 17 46 193
e 17 47 192
e 17 51 190
e 17 53 198
e 17 58 202
e 17 80 208
e 17 95 207
e 17 101 197
e 17 120 198
e 17 127 198
e 18 22 303
e 18 25 298
e 18 28 299
e 18 51 196
e 18 85 198
e 18 122 197
e 18 145 206
e 18 156 205
e 19 24 293
e 19 37 305
e 19 55 201
e 19 96 198
e 19 119 191
e 19 123 208
e 19 129 192
e 19 144 204
e 19 145 198
e 20 67 202
e 20 69 196
e 20 71 201
e 20 107 205
e 20 114 194
e 20 117 206
e 20 120 202
e 20 122 204
e 20 123 201
e 20 125 201
e 21 34 298
e 21 36 303
e 21 61 202
e 21 67 205
e 21 79 202
e 21 82 200
e 21 86 193
e 21 112 198
e 21 115 203
e 21 117 202
e 21 120 195
e 22 27 294
e 22 31 297
e 22 34 303
e 22 46 197
e 22 62 198
e 22 66 200
e 22 74 193
e 22 94 200
e 22 141 209
e 23 24 297
e 23 61 206
e 23 63 196
e 23 114 192
e 23 124 208
e 23 141 210
e 23 142 190
e 24 43 197
e 24 61 201
e 24 83 197
e 24 99 209
e 24 101 194
e 25 29 302
e 25 85 209
e 25 89 201
e 25 103 205
e 25 109 203
e 25 117 195
e 25 129 208
e 25 138 207
e 25 141 202
e 25 160 200
e 26 37 297
e 26 44 192
e 26 72 193
e 26 96 192
e 26 118 202
e 26 120 198
e 26 127 195
e 26 148 195
e 26 150 195
e 27 32 296
e 27 33 299
e 27 43 197
e 27 58 190
e 27 87 194
e 27 99 199
e 27 111 202
e 27 128 197
e 27 151 200
e 27 153 206
e 28 30 305
e 28 38 303
e 28 54 203
e 28 68 192
e 28 79 207
e 28 82 200
e 28 101 201
e 28 128 202
e 28 135 198
e 29 49 200
e 29 54 201
e 29 58 197
e 29 69 194
e 29 95 209
e 29 118 200
e 29 119 195
e 30 86 201
e 30 87 202
e 30 115 203
e 30 119 202
e 30 155 197
e 31 33 292
e 31 64 209
e 31 68 198
e 31 78 205
e 31 88 198
e 31 96 199
e 31 138 206
e 31 149 199
e 31 156 200
e 32 34 310
e 32 42 199
e 32 58 196
e 32 60 197
e 32 65 199
e 32 80 193
e 32 99 202
e 32 102 195
e 32 107 199
e 32 156 198
e 33 34 303
e 33 51 193
e 33 59 204
e 33 81 190
e 33 93 195
e 33 96 200
e 33 99 200
e 33 106 188
e 33 125 205
e 33 133 197
e 33 137 198
e 33 143 192
e 33 147 201
e 33 157 208
e 34 36 301
e 34 43 196
e 34 60 199
e 34 86 190
e 34 112 198
e 34 128 199
e 34 133 204
e 34 134 206
e 34 148 201
e 34 149 192
e 34 150 198
e 35 103 195
e 35 119 196
e 35 128 201
e 35 133 188
e 35 159 205
e 36 42 201
e 36 51 202
e 36 77 197
e 36 118 191
e 36 122 194
e 36 131 198
e 36 140 194
e 36 148 200
e 36 153 198
e 37 56 198
e 37 92 205
e 37 104 198
e 37 115 197
e 37 118 206
e 37 122 192
e 38 42 194
e 38 54 195
e 38 55 195
e 38 70 210
e 38 71 198
e 38 89 196
e 38 111 193
e 38 115 193
e 38 128 196
e 38 146 202
e 38 150 202
e 39 49 199
e 39 50 202
e 39 55 209
e 39 69 195
e 39 81 198
e 39 83 201
e 39 89 200
e 39 93 205
e 39 117 205
e 39 139 197
e 40 65 200
e 40 75 203
e 40 80 197
e 40 111 201
e 40 130 199
e 40 147 194
e 40 153 203
e 40 157 206
e 41 52 99
e 41 71 94
e 41 79 101
e 41 87 97
e 41 95 103
e 41 97 97
e 41 133 98
e 41 134 95
e 41 154 104
e 42 55 98
e 42 75 105
e 42 82 94
e 42 94 99
e 42 100 99
e 42 103 102
e 42 105 94
e 42 114 95
e 42 131 99
e 42 150 95
e 43 49 98
e 43 60 96
e 43 74 93
e 43 92 90
e 43 95 101
e 43 110 104
e 43 154 98
e 43 159 103
e 43 160 99
e 44 55 90
e 44 90 100
e 44 112 100
e 44 115 110
e 44 128 99
e 44 138 93
e 44 142 89
e 44 146 97
e 45 57 105
e 45 60 98
e 45 88 92
