DIMACS2
17 1
 2
 3
 4
 5
 6
 7
 8
 9
 10
 11
 12
 13
 14
 15 16
 17

p edge 320 640
e 1 73 201
e 1 206 198
e 1 248 199
e 1 302 205
e 2 96 201
e 2 205 195
e 3 124 201
e 3 283 198
e 4 33 188
e 4 161 202
e 4 199 202
e 5 18 195
e 5 58 199
e 5 129 204
e 5 158 205
e 5 191 195
e 5 218 201
e 5 238 210
e 5 240 197
e 5 260 206
e 6 53 204
e 6 207 200
e 6 233 203
e 6 293 194
e 7 30 202
e 7 189 204
e 7 191 199
e 7 222 202
e 7 254 207
e 8 18 193
e 8 21 198
e 8 97 194
e 8 182 205
e 8 315 197
e 9 38 202
e 9 213 199
e 9 247 198
e 9 252 190
e 9 302 195
e 10 153 202
e 10 203 200
e 11 35 198
e 11 76 206
e 11 207 194
e 11 291 200
e 12 22 208
e 12 64 197
e 12 270 192
e 12 313 201
e 13 45 196
e 13 134 197
e 13 222 196
e 13 274 197
e 14 216 204
e 15 31 190
e 15 73 201
e 15 102 194
e 15 126 206
e 15 268 197
e 16 20 200
e 16 59 208
e 17 66 201
e 17 91 198
e 17 134 191
e 17 317 201
e 18 42 99
e 18 110 99
e 18 193 102
e 18 287 91
e 19 84 101
e 19 216 105
e 19 250 100
e 19 298 91
e 20 110 100
e 20 178 101
e 20 182 100
e 20 244 97
e 21 58 99
e 21 114 111
e 21 147 92
e 21 155 98
e 22 139 96
e 22 209 102
e 22 269 97
e 23 38 96
e 23 44 102
e 23 96 94
e 23 192 92
e 24 186 102
e 24 217 99
e 24 256 109
e 24 272 101
e 25 33 101
e 25 203 109
e 26 58 99
e 26 171 96
e 26 283 99
e 27 31 103
e 27 89 95
e 27 175 102
e 27 243 104
e 28 62 99
e 28 92 97
e 28 168 102
e 28 204 94
e 28 207 93
e 28 253 96
e 29 53 106
e 29 238 113
e 29 293 96
e 30 185 99
e 30 249 89
e 31 67 101
e 31 94 98
e 31 200 97
e 31 257 98
e 31 273 101
e 32 59 107
e 32 182 100
e 32 196 97
e 32 221 102
e 32 281 97
e 33 131 100
e 33 144 101
e 34 135 90
e 34 220 105
e 35 46 105
e 35 48 95
e 35 132 100
e 35 220 93
e 35 243 101
e 35 282 107
e 36 148 111
e 36 216 107
e 37 94 98
e 37 135 90
e 39 139 93
e 39 150 103
e 39 245 100
e 39 247 100
e 39 303 101
e 40 44 100
e 40 92 92
e 40 160 92
e 40 167 100
e 40 217 96
e 40 229 105
e 40 265 95
e 41 188 98
e 41 245 103
e 42 148 104
e 42 292 96
e 43 149 111
e 43 252 105
e 43 292 92
e 44 62 96
e 44 94 91
e 44 130 98
e 44 194 87
e 44 203 93
e 44 222 96
e 45 78 96
e 45 88 101
e 45 139 112
e 45 183 94
e 46 132 107
e 46 133 93
e 46 189 102
e 46 242 90
e 47 70 90
e 47 172 101
e 47 177 96
e 47 237 102
e 48 198 99
e 48 270 102
e 48 286 101
e 49 104 101
e 49 170 97
e 49 200 94
e 49 278 102
e 50 181 96
e 50 187 98
e 50 314 91
e 50 319 103
e 51 84 97
e 51 163 92
e 51 282 95
e 52 90 104
e 52 232 96
e 53 74 96
e 53 142 101
e 53 145 102
e 53 180 106
e 53 223 98
e 53 291 108
e 54 90 93
e 54 122 102
e 54 145 105
e 54 244 101
e 55 110 98
e 55 225 89
e 55 297 109
e 55 299 103
e 56 228 106
e 56 308 102
e 57 137 94
e 57 210 99
e 57 238 101
e 57 283 96
e 58 76 91
e 58 211 96
e 58 215 102
e 59 92 105
e 59 167 98
e 60 197 102
e 60 256 93
e 60 282 94
e 60 310 105
e 61 65 106
e 61 161 105
e 61 289 99
e 63 89 101
e 63 155 95
e 63 164 93
e 63 188 109
e 63 248 99
e 64 73 94
e 64 103 99
e 64 194 94
e 65 76 99
e 65 141 95
e 65 152 102
e 65 192 111
e 65 238 92
e 65 309 92
e 66 83 98
e 66 172 100
e 66 298 99
e 66 317 99
e 67 70 97
e 67 121 94
e 67 245 95
e 67 255 93
e 68 75 94
e 68 112 109
e 68 189 103
e 68 234 100
e 69 102 105
e 69 135 106
e 69 223 96
e 70 83 110
e 70 95 108
e 71 112 95
e 71 153 100
e 71 233 94
e 71 269 103
e 72 131 100
e 72 208 111
e 72 210 92
e 73 75 95
e 73 161 96
e 73 193 107
e 73 204 102
e 73 291 99
e 74 271 99
e 75 182 91
e 75 306 103
e 76 90 106
e 76 106 108
e 76 131 96
e 76 194 109
e 77 148 92
e 77 259 102
e 78 155 96
e 79 222 97
e 80 108 99
e 80 220 93
e 80 305 108
e 81 208 94
e 81 289 95
e 82 157 101
e 82 212 92
e 82 303 96
e 83 118 97
e 83 167 96
e 83 254 99
e 83 281 102
e 83 315 97
e 84 162 96
e 84 292 102
e 85 88 103
e 85 264 101
e 86 273 92
e 87 155 100
e 87 198 100
e 87 211 103
e 87 302 94
e 88 100 97
e 88 140 91
e 88 168 103
e 88 180 98
e 89 135 89
e 89 205 102
e 89 260 102
e 90 178 102
e 90 199 95
e 90 217 103
e 90 248 98
e 91 107 103
e 91 130 101
e 91 152 97
e 91 213 101
e 91 250 110
e 92 140 101
e 92 274 101
e 92 286 102
e 92 292 93
e 93 138 96
e 93 159 94
e 93 182 95
e 93 227 107
e 93 265 97
e 94 123 103
e 94 207 104
e 94 237 101
e 94 271 102
e 95 131 103
e 96 280 96
e 96 314 88
e 97 281 102
e 97 296 89
e 98 102 102
e 98 104 99
e 98 248 97
e 99 177 102
e 99 179 104
e 99 237 97
e 99 286 92
e 99 307 99
e 100 303 108
e 101 261 101
e 101 316 101
e 102 111 105
e 102 213 92
e 102 219 105
e 103 104 90
e 103 148 95
e 103 161 95
e 104 276 103
e 104 285 100
e 105 123 97
e 105 224 96
e 105 317 103
e 106 117 99
e 106 119 105
e 106 186 102
e 106 197 103
e 106 239 105
e 107 269 96
e 108 146 100
e 108 212 97
e 108 236 105
e 108 299 96
e 109 155 97
e 109 291 104
e 110 156 96
e 110 187 102
e 110 193 103
e 111 115 103
e 111 264 98
e 111 311 107
e 112 142 103
e 112 157 99
e 112 235 99
e 112 292 102
e 113 153 89
e 113 188 105
e 113 221 90
e 114 126 102
e 114 197 97
e 115 132 102
e 115 194 102
e 115 288 101
e 115 301 104
e 116 151 92
e 116 244 105
e 116 293 93
e 117 183 96
e 118 224 98
e 118 227 100
e 118 275 99
e 118 287 97
e 119 161 97
e 119 217 92
e 119 237 105
e 120 124 100
e 120 248 96
e 121 152 98
e 121 237 103
e 121 317 96
e 122 146 104
e 122 168 97
e 122 284 96
e 123 134 102
e 123 200 98
e 124 202 102
e 125 213 85
e 125 225 101
e 127 290 108
e 127 292 95
e 128 175 93
e 128 216 112
e 128 241 99
e 129 223 107
e 129 261 97
e 129 300 92
e 129 318 94
e 130 212 100
e 130 269 105
e 131 156 96
e 131 297 94
e 131 299 102
e 131 308 107
e 132 139 89
e 132 291 96
e 132 312 106
e 133 228 93
e 134 213 92
e 134 236 95
e 135 303 91
e 135 320 107
e 136 139 102
e 136 188 99
e 138 195 103
e 138 221 98
e 139 257 105
e 139 266 110
e 139 295 100
e 140 236 96
e 141 151 94
e 141 166 97
e 142 153 89
e 142 164 91
e 142 168 105
e 142 204 98
e 142 221 104
e 142 223 100
e 142 239 97
e 142 243 101
e 142 271 95
e 142 302 109
e 143 147 106
e 143 280 105
e 144 250 98
e 145 257 103
e 146 306 101
e 147 262 107
e 148 239 94
e 148 266 90
e 148 282 101
e 148 297 101
e 149 171 88
e 149 194 105
e 150 156 99
e 150 159 108
e 151 217 101
e 151 231 99
e 151 300 95
e 152 273 101
e 153 281 101
e 153 319 98
e 154 316 97
e 156 159 97
e 156 239 99
e 157 202 99
e 157 230 99
e 159 214 100
e 159 294 113
e 159 310 92
e 161 163 99
e 161 250 90
e 161 305 100
e 162 204 101
e 162 282 103
e 164 219 92
e 165 181 93
e 165 211 98
e 165 264 100
