DIMACS2
34 1
 2
 3
 4
 5
 6
 7
 8
 9
 10
 11
 12
 13
 14
 15 16
 17
 18
 19
 20
 21
 22
 23
 24
 25
 26
 27
 28
 29
 30 31
 32
 33
 34

p edge 320 640
e 1 15 299
e 1 25 294
e 1 101 203
e 1 130 204
e 1 261 201
e 1 292 192
e 2 9 306
e 2 203 203
e 3 110 204
e 3 154 202
e 3 160 203
e 3 184 199
e 3 229 200
e 4 24 309
e 4 82 199
e 4 125 194
e 4 161 199
e 4 203 203
e 5 31 303
e 5 73 197
e 5 174 199
e 5 316 198
e 6 89 206
e 6 160 202
e 6 219 193
e 6 291 207
e 7 64 192
e 7 168 203
e 7 242 196
e 7 314 204
e 8 21 293
e 8 47 208
e 8 186 207
e 8 197 188
e 8 216 196
e 8 301 208
e 8 308 200
e 8 318 190
e 9 72 203
e 9 78 205
e 9 85 210
e 9 287 196
e 9 307 200
e 10 17 302
e 10 28 298
e 10 149 204
e 10 193 203
e 10 278 203
e 11 276 196
e 12 18 290
e 12 33 290
e 12 62 203
e 12 93 200
e 12 238 208
e 13 188 198
e 13 260 194
e 13 271 199
e 14 162 208
e 14 238 193
e 15 31 297
e 15 70 190
e 15 96 194
e 15 193 197
e 15 246 197
e 15 295 202
e 16 165 198
e 16 301 200
e 16 302 199
e 17 49 197
e 17 129 191
e 17 201 202
e 17 251 196
e 18 58 197
e 18 77 197
e 18 138 203
e 19 56 203
e 19 193 204
e 20 29 294
e 20 160 197
e 20 296 197
e 21 222 206
e 21 246 205
e 22 103 202
e 22 176 201
e 22 191 200
e 22 305 200
e 23 27 298
e 23 48 200
e 23 134 203
e 24 81 202
e 24 151 199
e 24 181 199
e 24 189 202
e 24 225 194
e 25 38 204
e 25 205 191
e 25 225 202
e 26 68 203
e 26 118 200
e 27 237 200
e 28 292 210
e 29 226 203
e 29 246 199
e 30 114 197
e 30 191 203
e 30 207 203
e 30 278 200
e 31 37 208
e 31 141 202
e 31 199 204
e 31 261 191
e 31 265 198
e 32 36 198
e 32 101 192
e 32 116 199
e 32 158 206
e 32 213 201
e 32 251 205
e 33 51 202
e 33 74 192
e 33 212 192
e 33 213 205
e 33 305 194
e 34 118 198
e 34 166 200
e 34 173 190
e 34 218 201
e 34 229 205
e 34 314 197
e 35 93 103
e 36 195 103
e 36 258 103
e 37 236 100
e 37 273 98
e 38 84 100
e 38 163 103
e 38 223 99
e 39 46 102
e 39 52 97
e 39 69 91
e 39 203 103
e 39 270 91
e 39 290 92
e 39 314 98
e 40 113 94
e 40 174 103
e 40 281 106
e 40 293 99
e 41 107 92
e 41 141 98
e 41 167 94
e 41 171 101
e 41 203 97
e 41 237 97
e 42 69 99
e 42 92 95
e 42 104 95
e 42 250 102
e 43 64 98
e 43 143 97
e 43 154 97
e 43 164 94
e 44 92 106
e 44 132 94
e 45 48 93
e 45 51 93
e 45 134 93
e 45 318 95
e 45 320 98
e 46 163 109
e 46 202 102
e 46 283 96
e 47 280 104
e 47 285 94
e 48 82 97
e 48 96 91
e 48 115 100
e 48 147 99
e 48 158 103
e 48 244 103
e 48 284 104
e 50 91 98
e 50 154 102
e 50 165 90
e 50 180 103
e 50 305 97
e 50 320 92
e 51 107 99
e 51 109 85
e 51 132 109
e 51 156 99
e 51 189 101
e 52 86 95
e 52 301 100
e 53 178 100
e 54 98 105
e 54 118 98
e 54 180 97
e 54 182 95
e 54 254 99
e 55 131 104
e 55 144 98
e 55 211 98
e 55 226 100
e 55 241 95
e 55 314 95
e 56 151 96
e 56 244 111
e 56 265 92
e 57 70 101
e 57 128 96
e 57 247 99
e 58 246 111
e 59 60 96
e 59 290 94
e 60 75 115
e 60 168 100
e 60 287 96
e 60 305 95
e 61 174 98
e 61 242 98
e 62 134 99
e 62 149 95
e 63 103 97
e 63 165 100
e 63 182 98
e 63 291 109
e 64 70 94
e 64 83 98
e 64 175 102
e 65 122 98
e 65 168 99
e 65 192 90
e 65 251 106
e 65 277 107
e 66 72 95
e 66 79 98
e 66 100 111
e 66 111 97
e 66 119 105
e 66 229 102
e 66 276 108
e 66 309 97
e 67 104 99
e 67 231 104
e 67 276 107
e 68 120 100
e 68 251 97
e 69 101 96
e 70 123 100
e 70 134 91
e 70 159 99
e 70 207 108
e 70 233 90
e 70 288 88
e 71 191 101
e 71 249 99
e 71 266 94
e 71 282 95
e 72 122 107
e 72 164 96
e 72 220 101
e 73 92 98
e 73 120 96
e 73 309 101
e 74 212 99
e 75 92 98
e 75 278 94
e 76 110 99
e 76 185 112
e 76 251 118
e 76 274 105
e 76 297 99
e 77 194 103
e 77 264 99
e 77 269 94
e 77 291 102
e 78 101 98
e 78 106 92
e 78 143 102
e 78 204 100
e 78 258 106
e 78 269 103
e 79 199 97
e 79 256 101
e 80 209 102
e 80 213 105
e 81 121 100
e 81 178 95
e 81 308 108
e 82 92 101
e 82 101 94
e 82 128 103
e 82 259 91
e 83 271 94
e 84 218 87
e 84 234 100
e 84 244 98
e 84 271 104
e 85 268 103
e 86 91 97
e 86 109 93
e 86 112 94
e 86 176 106
e 87 219 103
e 88 175 100
e 88 260 106
e 88 265 97
e 88 312 102
e 89 157 107
e 89 243 99
e 89 276 98
e 90 106 100
e 90 224 105
e 91 109 98
e 91 122 104
e 91 132 103
e 92 293 102
e 93 172 102
e 93 213 95
e 93 236 100
e 94 214 93
e 94 230 103
e 95 110 96
e 95 257 103
e 95 318 93
e 96 168 102
e 96 264 101
e 97 141 98
e 97 172 105
e 98 194 98
e 98 210 99
e 98 213 97
e 98 242 101
e 98 282 94
e 99 118 93
e 99 184 107
e 99 218 97
e 100 175 100
e 100 238 102
e 101 156 101
e 101 162 100
e 101 209 96
e 101 224 102
e 101 254 98
e 102 158 95
e 103 177 86
e 103 200 89
e 104 162 101
e 104 221 102
e 105 185 98
e 105 205 99
e 105 315 95
e 106 251 112
e 107 128 108
e 107 150 94
e 107 232 99
e 107 242 98
e 107 301 98
e 108 119 99
e 108 241 101
e 109 142 91
e 110 141 101
e 110 179 102
e 110 219 95
e 111 137 108
e 111 151 103
e 111 160 99
e 111 162 104
e 111 196 95
e 111 277 101
e 111 278 101
e 112 125 96
e 112 174 100
e 112 252 106
e 112 273 93
e 113 143 95
e 113 157 103
e 113 260 94
e 114 123 101
e 114 302 92
e 116 224 102
e 117 127 95
e 117 168 100
e 117 209 97
e 117 316 103
e 118 223 96
e 119 154 101
e 119 169 94
e 119 312 90
e 120 129 97
e 120 170 100
e 121 251 94
e 122 264 105
e 123 131 95
e 123 195 108
e 123 311 96
e 123 319 102
e 124 129 105
e 124 135 88
e 124 152 100
e 124 235 92
e 125 135 101
e 125 148 106
e 125 183 103
e 125 246 96
e 125 291 102
e 125 296 98
e 126 221 96
e 127 155 94
e 128 160 108
e 128 176 100
e 128 177 102
e 128 232 99
e 129 174 95
e 130 160 93
e 130 174 101
e 130 242 88
e 132 175 105
e 132 246 97
e 132 250 105
e 133 214 102
e 133 215 101
e 133 238 101
e 133 248 91
e 133 310 104
e 134 178 98
e 134 215 103
e 134 259 98
e 134 272 98
e 134 289 94
e 134 311 110
e 135 183 92
e 135 191 93
e 135 193 99
e 135 304 95
