DIMACS2
80 1
 2
 3
 4
 5
 6
 7
 8
 9
 10
 11
 12
 13
 14
 15 16
 17
 18
 19
 20
 21
 22
 23
 24
 25
 26
 27
 28
 29
 30 31
 32
 33
 34
 35
 36
 37
 38
 39
 40
 41
 42
 43
 44
 45 46
 47
 48
 49
 50
 51
 52
 53
 54
 55
 56
 57
 58
 59
 60 61
 62
 63
 64
 65
 66
 67
 68
 69
 70
 71
 72
 73
 74
 75 76
 77
 78
 79
 80

p edge 320 1845
e 1 10 301
e 1 14 294
e 1 38 294
e 1 69 290
e 1 87 198
e 1 124 202
e 1 133 194
e 1 136 206
e 1 139 198
e 1 185 199
e 1 189 204
e 1 193 189
e 1 221 202
e 1 240 209
e 1 270 193
e 1 280 204
e 1 285 203
e 1 295 195
e 1 308 197
e 2 42 295
e 2 133 204
e 2 147 197
e 2 148 197
e 2 161 203
e 2 169 195
e 2 197 199
e 2 217 203
e 2 259 201
e 2 263 194
e 2 293 205
e 2 312 201
e 3 49 301
e 3 101 206
e 3 168 199
e 3 198 202
e 3 257 207
e 3 265 201
e 4 14 299
e 4 30 312
e 4 36 306
e 4 67 298
e 4 89 198
e 4 99 218
e 4 136 192
e 4 143 194
e 4 165 197
e 4 181 196
e 4 239 196
e 4 253 203
e 4 268 209
e 4 280 204
e 4 301 196
e 5 14 295
e 5 25 293
e 5 28 296
e 5 32 309
e 5 35 291
e 5 38 297
e 5 42 302
e 5 60 300
e 5 63 298
e 5 104 202
e 5 130 206
e 5 135 204
e 5 147 203
e 5 148 198
e 5 191 204
e 5 299 193
e 5 316 199
e 5 317 199
e 6 7 307
e 6 29 298
e 6 58 297
e 6 75 296
e 6 125 201
e 6 158 192
e 6 165 189
e 6 166 205
e 6 169 201
e 6 188 203
e 6 200 200
e 6 228 203
e 6 245 204
e 6 247 197
e 6 251 200
e 6 254 202
e 7 10 299
e 7 98 200
e 7 107 208
e 7 212 201
e 7 227 189
e 7 233 200
e 7 235 197
e 7 240 195
e 7 261 195
e 7 275 199
e 7 277 205
e 8 54 298
e 8 73 289
e 8 91 196
e 8 154 202
e 8 201 201
e 8 221 197
e 8 255 196
e 8 283 201
e 8 299 199
e 8 304 209
e 9 34 299
e 9 45 300
e 9 109 191
e 9 137 191
e 9 139 204
e 9 207 212
e 9 225 201
e 9 235 200
e 9 288 206
e 9 297 203
e 10 15 292
e 10 81 204
e 10 94 202
e 10 115 198
e 10 147 194
e 10 167 200
e 10 180 197
e 10 197 195
e 10 202 202
e 10 207 196
e 10 223 198
e 10 251 203
e 10 262 195
e 10 303 202
e 11 61 302
e 11 78 299
e 11 144 204
e 11 152 196
e 11 170 195
e 11 213 196
e 11 287 201
e 11 320 198
e 12 17 299
e 12 30 294
e 12 63 310
e 12 77 301
e 12 103 189
e 12 133 206
e 12 146 200
e 12 153 195
e 12 190 193
e 12 226 194
e 12 254 197
e 12 278 201
e 12 310 205
e 13 21 294
e 13 102 204
e 13 127 200
e 13 134 196
e 13 154 195
e 13 185 205
e 13 201 200
e 13 270 204
e 13 301 200
e 14 15 294
e 14 47 292
e 14 152 203
e 14 247 203
e 14 271 196
e 14 288 195
e 14 295 195
e 15 18 291
e 15 53 301
e 15 64 311
e 15 72 295
e 15 89 200
e 15 95 198
e 15 113 199
e 15 118 199
e 15 126 191
e 15 143 190
e 15 165 199
e 15 176 195
e 15 189 196
e 15 205 195
e 15 231 197
e 15 242 201
e 15 257 193
e 15 261 206
e 15 264 194
e 15 271 199
e 15 278 206
e 15 295 201
e 15 308 191
e 15 316 204
e 16 68 301
e 16 119 196
e 16 123 201
e 16 134 198
e 16 148 195
e 16 175 193
e 16 198 196
e 16 229 201
e 16 243 194
e 16 280 190
e 16 283 191
e 16 286 202
e 16 291 195
e 16 315 195
e 17 29 301
e 17 68 296
e 17 79 309
e 17 107 192
e 17 139 198
e 17 157 200
e 17 219 199
e 17 221 208
e 17 277 201
e 17 299 211
e 18 24 296
e 18 25 298
e 18 30 293
e 18 76 298
e 18 84 195
e 18 94 202
e 18 125 195
e 18 133 201
e 18 200 197
e 18 230 203
e 18 288 202
e 18 298 202
e 19 50 298
e 19 76 296
e 19 79 294
e 19 95 208
e 19 99 202
e 19 144 191
e 19 163 198
e 19 198 201
e 19 263 195
e 20 58 298
e 20 105 191
e 20 136 198
e 20 196 193
e 20 215 205
e 20 246 195
e 20 281 190
e 20 293 201
e 21 31 303
e 21 38 303
e 21 40 299
e 21 42 301
e 21 53 307
e 21 81 197
e 21 100 193
e 21 107 202
e 21 159 197
e 21 208 193
e 21 209 199
e 21 237 201
e 21 251 204
e 21 299 207
e 21 302 199
e 22 215 206
e 22 228 198
e 22 253 205
e 22 288 204
e 22 302 198
e 23 35 300
e 23 38 297
e 23 131 195
e 23 137 194
e 23 272 205
e 23 276 208
e 23 303 200
e 24 25 299
e 24 34 291
e 24 140 200
e 24 164 197
e 24 192 201
e 24 197 201
e 24 212 206
e 24 217 202
e 24 220 195
e 24 277 205
e 24 285 199
e 25 49 303
e 25 88 189
e 25 100 201
e 25 169 197
e 25 196 200
e 25 261 202
e 25 306 194
e 25 316 201
e 26 31 301
e 26 44 294
e 26 80 305
e 26 89 201
e 26 115 192
e 26 127 201
e 26 131 205
e 26 190 201
e 26 206 205
e 26 255 194
e 26 287 197
e 27 39 299
e 27 43 301
e 27 46 296
e 27 95 190
e 27 115 210
e 27 159 194
e 27 162 204
e 27 176 193
e 27 213 212
e 27 225 203
e 27 231 211
e 27 238 197
e 27 275 201
e 27 292 198
e 27 293 203
e 28 36 305
e 28 37 284
e 28 50 281
e 28 64 299
e 28 95 199
e 28 125 197
e 28 160 201
e 28 201 206
e 28 224 195
e 28 254 205
e 28 263 202
e 28 282 199
e 28 303 203
e 28 317 207
e 29 55 302
e 29 91 194
e 29 145 194
e 29 174 205
e 29 184 203
e 29 206 205
e 29 213 190
e 29 232 206
e 29 299 196
e 30 31 304
e 30 45 295
e 30 74 304
e 30 88 206
e 30 170 199
e 30 218 206
e 30 254 198
e 30 257 192
e 30 298 197
e 30 314 192
e 31 61 306
e 31 66 311
e 31 68 309
e 31 146 195
e 31 229 205
e 31 254 202
e 31 279 196
e 31 314 204
e 32 56 300
e 32 80 301
e 32 89 205
e 32 94 192
e 32 119 194
e 32 144 207
e 32 148 195
e 32 154 198
e 32 192 180
e 32 251 193
e 32 320 202
e 33 35 294
e 33 36 302
e 33 48 297
e 33 56 304
e 33 80 292
e 33 91 204
e 33 92 200
e 33 103 197
e 33 146 203
e 33 182 203
e 33 236 203
e 33 256 194
e 33 270 204
e 33 287 200
e 34 63 299
e 34 110 203
e 34 187 202
e 34 225 198
e 35 117 191
e 35 138 194
e 35 179 208
e 35 189 202
e 35 191 193
e 35 205 198
e 35 230 194
e 35 235 197
e 35 276 197
e 35 306 196
e 35 307 199
e 36 105 191
e 36 128 207
e 36 160 202
e 36 210 196
e 36 237 199
e 36 301 197
e 37 63 299
e 37 76 303
e 37 84 197
e 37 88 189
e 37 97 195
e 37 112 199
e 37 123 205
e 37 183 203
e 37 192 198
e 37 204 199
e 37 289 194
e 38 48 296
e 38 53 298
e 38 68 305
e 38 73 296
e 38 95 196
e 38 114 197
e 38 123 199
e 38 127 201
e 38 130 201
e 38 142 201
e 38 147 198
e 38 194 193
e 38 208 200
e 38 210 203
e 38 237 199
e 38 265 198
e 38 287 202
e 39 48 310
e 39 121 194
e 39 127 203
e 39 133 190
e 39 150 200
e 39 151 200
e 39 162 196
e 39 184 193
e 39 207 192
e 39 229 206
e 39 241 193
e 39 244 202
e 39 246 196
e 39 250 202
e 39 251 197
e 39 299 206
e 40 83 208
e 40 124 201
e 40 199 205
e 40 280 197
e 40 303 204
e 41 68 298
e 41 72 298
e 41 80 296
e 41 91 197
e 41 102 195
e 41 138 197
e 41 148 204
e 41 196 203
e 41 210 199
e 41 212 193
e 41 214 200
e 41 253 204
e 41 293 197
e 42 75 299
e 42 150 208
e 42 155 182
e 42 196 197
e 42 286 191
e 43 44 300
e 43 65 304
e 43 81 199
e 43 89 201
e 43 94 191
e 43 137 198
e 43 142 197
e 44 66 307
e 44 78 304
e 44 111 201
e 44 152 201
e 44 161 206
e 44 209 204
e 44 213 203
e 44 216 207
e 44 237 192
e 44 249 203
e 44 258 202
e 44 263 201
e 44 268 191
e 44 281 195
e 44 290 198
e 44 308 197
e 44 309 194
e 44 315 196
e 45 75 296
e 45 139 192
e 45 158 191
e 45 187 208
e 45 217 199
e 45 224 193
e 45 265 192
e 46 106 202
e 46 108 198
e 46 160 192
e 46 164 200
e 46 189 192
e 46 239 198
e 46 247 199
e 46 255 199
e 46 272 200
e 46 278 202
e 46 287 201
e 46 289 206
e 46 313 203
e 46 319 196
e 47 49 310
e 47 57 304
e 47 90 199
e 47 93 201
e 47 148 188
e 47 157 202
e 47 159 203
e 47 180 204
e 47 187 196
e 47 226 202
e 47 276 202
e 47 290 200
e 47 296 198
e 48 112 197
e 48 150 202
e 48 233 198
e 49 57 294
e 49 69 306
e 49 74 299
e 49 99 196
e 49 147 195
e 49 197 201
e 49 229 204
e 49 232 203
e 49 243 211
e 49 305 201
e 50 71 294
e 50 83 194
e 50 126 204
e 50 161 203
e 50 195 194
e 50 213 204
e 50 248 201
e 50 300 195
e 51 59 295
e 51 63 292
e 51 103 196
e 51 110 197
e 51 137 204
e 51 144 198
e 51 174 202
e 51 214 202
e 51 299 202
e 52 53 301
e 52 111 205
e 52 136 198
e 52 220 193
e 52 225 195
e 52 230 203
e 52 279 192
e 52 285 207
e 52 308 200
e 53 89 202
e 53 99 205
e 53 143 203
e 53 153 197
e 53 179 197
e 53 212 203
e 53 213 209
e 53 225 203
e 53 234 212
e 53 248 198
e 53 258 196
e 53 270 198
e 53 303 197
e 54 138 202
