OTHER
16
 1
 2
 4
 10
 11
 13
 17
 23
 25
 29
 33
 34
 38
 43
 46
 47
 52 1326
 1 2 167
 1 3 70
 1 4 99
 1 5 73
 1 6 82
 1 7 160
 1 8 107
 1 9 150
 1 10 140
 1 11 260
 1 12 164
 1 13 244
 1 14 280
 1 15 75
 1 16 65
 1 17 107
 1 18 40
 1 19 76
 1 20 53
 1 21 72
 1 22 12
 1 23 45
 1 24 69
 1 25 103
 1 26 182
 1 27 200
 1 28 177
 1 29 102
 1 30 90
 1 31 37
 1 32 23
 1 33 207
 1 34 34
 1 35 30
 1 36 31
 1 37 52
 1 38 60
 1 39 42
 1 40 52
 1 41 99
 1 42 141
 1 43 116
 1 44 39
 1 45 60
 1 46 70
 1 47 198
 1 48 67
 1 49 16
 1 50 54
 1 51 197
 1 52 305
 2 3 162
 2 4 262
 2 5 236
 2 6 245
 2 7 11
 2 8 239
 2 9 284
 2 10 283
 2 11 410
 2 12 315
 2 13 360
 2 14 379
 2 15 239
 2 16 181
 2 17 124
 2 18 149
 2 19 211
 2 20 141
 2 21 98
 2 22 159
 2 23 127
 2 24 230
 2 25 257
 2 26 298
 2 27 325
 2 28 311
 2 29 159
 2 30 98
 2 31 135
 2 32 182
 2 33 372
 2 34 196
 2 35 194
 2 36 196
 2 37 214
 2 38 224
 2 39 207
 2 40 217
 2 41 224
 2 42 26
 2 43 281
 2 44 186
 2 45 206
 2 46 215
 2 47 288
 2 48 228
 2 49 182
 2 50 149
 2 51 355
 2 52 429
 3 4 151
 3 5 127
 3 6 136
 3 7 153
 3 8 77
 3 9 121
 3 10 122
 3 11 317
 3 12 223
 3 13 312
 3 14 350
 3 15 126
 3 16 134
 3 17 54
 3 18 34
 3 19 52
 3 20 110
 3 21 72
 3 22 60
 3 23 90
 3 24 126
 3 25 163
 3 26 251
 3 27 267
 3 28 243
 3 29 163
 3 30 126
 3 31 52
 3 32 61
 3 33 226
 3 34 98
 3 35 93
 3 36 92
 3 37 112
 3 38 116
 3 39 98
 3 40 107
 3 41 62
 3 42 138
 3 43 139
 3 44 109
 3 45 55
 3 46 138
 3 47 268
 3 48 126
