DIMACS2
10 11 22 33 44 55 66 77 88 99 111
p edge 200 9876
e 3 1 4
e 3 2 4
e 4 2 3
e 5 1 2
e 5 4 1
e 6 3 3
e 6 4 3
e 6 5 4
e 7 1 1
e 7 2 1
e 7 5 1
e 8 1 2
e 8 3 4
e 8 6 2
e 8 7 1
e 9 1 2
e 9 3 1
e 10 1 3
e 10 4 3
e 10 6 4
e 10 7 1
e 10 8 1
e 11 1 773
e 11 2 985
e 11 5 903
e 11 6 584
e 11 7 581
e 11 8 603
e 12 7 4
e 12 9 4
e 13 2 4
e 13 3 3
e 13 5 4
e 13 7 4
e 13 8 2
e 13 9 3
e 13 12 4
e 14 1 2
e 14 2 1
e 14 4 3
e 14 6 4
e 14 8 3
e 14 9 3
e 14 10 3
e 14 13 3
e 15 1 3
e 15 4 3
e 15 6 2
e 15 9 1
e 15 11 976
e 15 14 4
e 16 3 4
e 16 4 3
e 16 5 3
e 16 7 2
e 16 9 4
e 16 12 3
e 16 13 2
e 16 15 2
e 17 2 2
e 17 5 2
e 17 6 4
e 17 8 3
e 17 12 1
e 17 15 1
e 17 16 4
e 18 6 1
e 18 7 4
e 18 11 514
e 18 13 2
e 18 14 4
e 18 15 2
e 19 3 3
e 19 4 2
e 19 5 1
e 19 7 4
e 19 12 2
e 19 14 4
e 20 3 3
e 20 7 3
e 20 8 3
e 20 14 3
e 20 15 3
e 20 17 3
e 20 18 3
e 21 1 4
e 21 2 4
e 21 4 3
e 21 6 3
e 21 8 4
e 21 9 1
e 21 11 613
e 21 13 3
e 21 15 1
e 21 18 3
e 21 20 4
e 22 1 887
e 22 2 675
e 22 3 978
e 22 5 732
e 22 6 622
e 22 8 561
e 22 9 632
e 22 10 875
e 22 13 502
e 22 15 983
e 22 16 968
e 22 17 592
e 22 20 828
e 23 2 2
e 23 8 4
e 23 9 1
e 23 11 891
e 23 15 4
e 23 16 3
e 23 19 2
e 23 22 845
e 24 1 3
e 24 4 1
e 24 6 4
e 24 7 3
e 24 10 1
e 24 11 636
e 24 15 1
e 24 16 4
e 24 19 2
e 24 22 661
e 25 3 3
e 25 5 1
e 25 6 2
e 25 7 4
e 25 11 555
e 25 14 3
e 25 16 4
e 25 21 2
e 25 23 4
e 25 24 2
e 26 1 4
e 26 4 2
e 26 5 2
e 26 6 3
e 26 9 4
e 26 12 4
e 26 13 2
e 26 15 1
e 26 18 3
e 26 19 4
e 26 20 3
e 26 23 2
e 26 25 1
e 27 2 4
e 27 3 2
e 27 5 1
e 27 6 1
e 27 8 1
e 27 9 4
e 27 15 2
e 27 17 3
e 27 19 3
e 27 22 842
e 27 25 2
e 28 1 3
e 28 2 3
e 28 3 4
e 28 6 2
e 28 8 2
e 28 9 3
e 28 11 909
e 28 12 3
e 28 15 1
e 28 16 1
e 28 17 4
e 28 18 1
e 28 21 4
e 28 22 844
e 28 24 1
e 28 25 2
e 28 26 1
e 28 27 3
e 29 1 4
e 29 2 4
e 29 3 2
e 29 5 4
e 29 7 2
e 29 9 2
e 29 12 3
e 29 13 1
e 29 15 3
e 29 16 2
e 29 18 2
e 29 19 4
e 29 20 2
e 29 22 646
e 29 27 3
e 29 28 1
e 30 1 4
e 30 2 2
e 30 4 2
e 30 5 4
e 30 7 3
e 30 8 1
e 30 9 3
e 30 12 3
e 30 14 4
e 30 16 2
e 30 18 4
e 30 22 930
e 30 24 3
e 30 28 4
e 31 7 1
e 31 8 3
e 31 10 4
e 31 11 765
e 31 13 2
e 31 15 1
e 31 16 2
e 31 17 3
e 31 18 4
e 31 19 3
e 31 23 1
e 31 24 3
e 31 25 4
e 31 26 1
e 31 28 3
e 32 3 4
e 32 4 2
e 32 9 4
e 32 10 2
e 32 11 676
e 32 12 1
e 32 15 4
e 32 16 2
e 32 17 4
e 32 19 3
e 32 21 1
e 32 22 817
e 32 23 2
e 32 27 3
e 32 28 2
e 32 29 2
e 32 31 2
e 33 1 537
e 33 2 587
e 33 4 586
e 33 5 697
e 33 6 685
e 33 7 740
e 33 14 612
e 33 15 600
e 33 18 563
e 33 20 649
e 33 22 908
e 33 23 676
e 33 24 979
e 33 32 547
e 34 3 4
e 34 6 3
e 34 7 1
e 34 9 2
