DIMACS2
10 1 22 33 44 55 66 77 88 99 111
p edge 125 6963
e 2 1 557
e 3 1 515
e 4 1 959
e 4 2 2
e 4 3 3
e 5 1 990
e 5 2 1
e 5 3 2
e 5 4 3
e 6 1 568
e 6 2 1
e 6 3 2
e 6 4 3
e 6 5 2
e 7 1 733
e 7 2 1
e 7 3 2
e 7 4 3
e 7 5 2
e 7 6 1
e 8 1 898
e 8 2 1
e 8 3 3
e 8 4 2
e 8 5 3
e 8 6 3
e 8 7 4
e 9 1 784
e 9 2 2
e 9 3 3
e 9 4 1
e 9 5 2
e 9 6 3
e 9 7 1
e 9 8 3
e 10 1 663
e 10 2 1
e 10 3 2
e 10 4 4
e 10 5 1
e 10 6 4
e 10 7 3
e 10 8 4
e 10 9 2
e 11 1 982
e 11 2 2
e 11 3 2
e 11 4 4
e 11 5 4
e 11 6 1
e 11 7 2
e 11 8 4
e 11 9 1
e 11 10 1
e 12 2 4
e 12 3 4
e 12 4 2
e 12 5 4
e 12 6 4
e 12 7 1
e 12 10 1
e 12 11 2
e 13 1 567
e 13 3 2
e 13 4 2
e 13 5 4
e 13 6 1
e 13 7 4
e 13 8 2
e 13 9 4
e 13 10 2
e 13 11 4
e 13 12 1
e 14 1 800
e 14 2 2
e 14 3 4
e 14 4 1
e 14 5 2
e 14 8 3
e 14 9 2
e 14 10 1
e 14 11 3
e 14 12 1
e 15 1 763
e 15 3 2
e 15 4 2
e 15 5 1
e 15 7 3
e 15 8 1
e 15 9 1
e 15 10 2
e 15 13 2
e 15 14 1
e 16 1 721
e 16 2 2
e 16 4 2
e 16 5 1
e 16 6 4
e 16 7 1
e 16 8 2
e 16 9 3
e 16 10 3
e 16 11 1
e 16 12 3
e 16 13 2
e 16 14 3
e 16 15 4
e 17 1 655
e 17 2 3
e 17 3 4
e 17 4 3
e 17 5 3
e 17 6 3
e 17 7 2
e 17 8 3
e 17 9 2
e 17 10 2
e 17 11 2
e 17 12 3
e 17 13 2
e 17 14 1
e 17 15 4
e 17 16 2
e 18 1 624
e 18 2 4
e 18 3 2
e 18 4 4
e 18 5 2
e 18 6 3
e 18 7 4
e 18 8 3
e 18 9 4
e 18 10 2
e 18 11 4
e 18 12 1
e 18 13 4
e 18 14 1
e 18 15 4
e 18 16 3
e 18 17 4
e 19 1 990
e 19 2 4
e 19 3 4
e 19 4 2
e 19 5 1
e 19 6 3
e 19 7 3
e 19 8 1
e 19 9 4
e 19 10 2
e 19 11 3
e 19 12 3
e 19 13 1
e 19 14 2
e 19 15 2
e 19 16 3
e 19 17 2
e 19 18 1
e 20 1 749
e 20 3 4
e 20 4 2
e 20 6 3
e 20 7 2
e 20 8 4
e 20 9 3
e 20 11 4
e 20 12 2
e 20 13 2
e 20 14 4
e 20 15 1
e 20 16 4
e 20 17 3
e 20 18 3
e 21 1 740
e 21 2 3
e 21 3 3
e 21 4 2
e 21 5 4
e 21 6 2
e 21 7 2
e 21 8 3
e 21 9 4
e 21 10 2
e 21 11 2
e 21 12 4
e 21 13 1
e 21 14 3
e 21 15 1
e 21 17 2
e 21 18 2
e 21 19 1
e 21 20 4
e 22 1 567
e 22 2 550
e 22 6 977
e 22 7 588
e 22 8 997
e 22 9 862
e 22 10 683
e 22 11 587
e 22 12 975
e 22 13 658
e 22 14 582
e 22 15 970
e 22 16 514
e 22 17 915
