DIMACS2
10 11 22 33 44 55 66 77 88 99 111
p edge 200 17910
e 2 1 3
e 3 1 2
e 3 2 4
e 4 1 2
e 4 2 1
e 4 3 4
e 5 1 4
e 5 2 3
e 5 3 2
e 5 4 2
e 6 1 3
e 6 2 4
e 6 3 2
e 6 4 4
e 6 5 2
e 7 1 4
e 7 2 4
e 7 4 1
e 7 5 3
e 7 6 3
e 8 2 1
e 8 3 3
e 8 4 2
e 8 5 1
e 8 6 2
e 8 7 3
e 9 1 4
e 9 2 2
e 9 3 4
e 9 4 1
e 9 5 3
e 9 6 4
e 9 7 4
e 9 8 2
e 10 1 4
e 10 2 2
e 10 3 4
e 10 4 2
e 10 5 2
e 10 6 3
e 10 7 1
e 10 8 4
e 10 9 4
e 11 1 765
e 11 2 738
e 11 3 986
e 11 4 634
e 11 5 856
e 11 6 854
e 11 7 846
e 11 8 856
e 11 10 833
e 12 1 2
e 12 2 1
e 12 3 1
e 12 4 2
e 12 5 4
e 12 6 2
e 12 7 3
e 12 8 1
e 12 9 1
e 12 11 914
e 13 2 4
e 13 4 3
e 13 5 1
e 13 6 1
e 13 7 3
e 13 8 4
e 13 9 3
e 13 10 1
e 13 11 992
e 13 12 3
e 14 1 3
e 14 2 1
e 14 3 3
e 14 4 4
e 14 5 4
e 14 6 1
e 14 7 3
e 14 8 3
e 14 9 4
e 14 10 1
e 14 11 933
e 14 12 4
e 14 13 1
e 15 1 3
e 15 2 3
e 15 3 2
e 15 4 4
e 15 6 3
e 15 7 2
e 15 8 3
e 15 9 3
e 15 10 4
e 15 11 995
e 15 12 1
e 15 13 3
e 15 14 3
e 16 1 2
e 16 2 4
e 16 3 3
e 16 4 3
e 16 5 2
e 16 6 4
e 16 7 2
e 16 8 2
e 16 9 2
e 16 10 2
e 16 11 612
e 16 12 1
e 16 13 2
e 16 14 1
e 16 15 1
e 17 1 1
e 17 2 2
e 17 3 1
e 17 4 1
e 17 5 3
e 17 6 3
e 17 7 1
e 17 8 3
e 17 9 2
e 17 10 4
e 17 11 933
e 17 12 1
e 17 13 4
e 17 14 2
e 17 15 4
e 17 16 2
e 18 1 1
e 18 2 3
e 18 3 1
e 18 4 1
e 18 5 3
e 18 6 2
e 18 7 3
e 18 8 2
e 18 9 3
e 18 10 1
e 18 11 782
e 18 12 2
e 18 13 4
e 18 14 4
e 18 16 1
e 19 1 4
e 19 2 4
e 19 3 3
e 19 4 1
e 19 5 1
e 19 6 1
e 19 7 3
e 19 8 2
e 19 9 3
e 19 10 2
e 19 11 644
e 19 12 2
e 19 15 4
e 19 16 4
e 19 17 1
e 19 18 4
e 20 1 4
e 20 2 3
e 20 3 4
e 20 5 2
e 20 6 1
e 20 7 3
e 20 8 3
e 20 9 1
e 20 10 3
e 20 11 840
e 20 12 2
e 20 13 3
e 20 15 1
e 20 16 4
e 20 17 1
e 20 18 3
e 20 19 2
e 21 1 3
e 21 2 2
e 21 3 1
e 21 4 3
e 21 5 4
e 21 6 4
e 21 7 3
e 21 8 3
e 21 9 1
e 21 10 4
e 21 11 665
e 21 12 1
e 21 13 3
e 21 14 1
e 21 16 1
e 21 17 3
e 21 18 3
e 21 19 3
e 21 20 4
e 22 1 611
e 22 2 534
e 22 3 930
e 22 4 876
e 22 6 928
e 22 7 764
e 22 8 533
e 22 9 764
e 22 10 721
e 22 11 681
e 22 12 711
e 22 13 610
e 22 14 520
e 22 15 845
e 22 17 980
e 22 18 883
e 22 19 807
e 22 20 761
e 22 21 848
e 23 1 2
e 23 2 1
e 23 3 2
e 23 4 4
e 23 5 4
e 23 6 1
e 23 7 4
e 23 9 2
e 23 11 807
e 23 12 4
e 23 13 3
e 23 14 3
e 23 15 2
e 23 16 2
e 23 17 2
e 23 18 2
e 23 19 3
e 23 20 2
e 23 21 1
e 23 22 631
e 24 1 3
e 24 2 4
e 24 3 2
e 24 4 4
e 24 5 4
e 24 6 3
e 24 7 1
e 24 8 3
e 24 9 2
e 24 10 3
e 24 11 528
e 24 12 2
e 24 13 4
e 24 14 1
e 24 15 3
e 24 16 3
e 24 19 1
e 24 20 4
e 24 21 3
e 24 22 543
e 24 23 4
e 25 1 3
e 25 2 2
e 25 3 4
e 25 4 2
e 25 5 1
e 25 7 3
e 25 8 4
e 25 9 1
