DIMACS2
10 22 44 66 88 111 133 155 177 199 244
p edge 300 10933
e 5 4 1
e 6 5 2
e 7 3 4
e 7 4 3
e 7 6 1
e 8 4 1
e 9 1 1
e 9 3 1
e 9 5 3
e 10 6 1
e 11 5 2
e 12 4 1
e 13 2 3
e 13 3 1
e 14 5 1
e 14 13 1
e 15 14 2
e 16 1 1
e 16 2 1
e 16 5 3
e 17 9 4
e 17 15 2
e 18 8 3
e 18 15 4
e 18 17 3
e 19 6 1
e 19 7 4
e 19 13 2
e 19 14 2
e 19 16 3
e 19 18 4
e 20 5 4
e 20 11 4
e 20 17 1
e 20 18 2
e 21 3 2
e 21 4 1
e 21 5 1
e 21 9 1
e 21 10 4
e 21 11 3
e 21 12 3
e 21 19 2
e 22 4 930
e 22 20 867
e 23 5 2
e 23 20 2
e 24 11 2
e 24 15 3
e 24 17 1
e 24 19 2
e 24 21 4
e 24 22 861
e 24 23 2
e 25 4 2
e 25 5 3
e 25 7 4
e 25 9 3
e 25 10 2
e 25 12 1
e 25 18 2
e 25 21 1
e 25 22 945
e 26 1 2
e 26 2 2
e 26 4 4
e 26 5 2
e 26 13 2
e 26 19 1
e 26 20 1
e 26 21 3
e 27 5 1
e 27 17 1
e 27 19 4
e 27 21 3
e 28 2 2
e 28 5 1
e 28 6 1
e 28 11 3
e 28 13 2
e 28 17 1
e 28 18 1
e 28 26 2
e 29 1 3
e 29 2 1
e 29 3 4
e 29 9 3
e 29 12 4
e 29 19 4
e 29 26 1
e 30 4 3
e 30 9 3
e 30 12 2
e 30 21 1
e 30 23 1
e 30 28 1
e 31 11 3
e 31 13 4
e 31 17 3
e 31 18 4
e 31 19 1
e 31 20 4
e 32 3 1
e 32 6 3
e 32 13 2
e 32 14 4
e 32 15 2
e 32 18 1
e 32 26 2
e 32 28 1
e 33 3 1
e 33 16 3
e 33 18 3
e 33 20 4
e 33 24 1
e 33 26 1
e 33 28 4
e 34 17 3
e 34 29 3
e 34 32 1
e 35 2 3
e 35 7 2
e 35 9 3
e 35 13 1
e 35 18 4
e 35 25 4
e 36 5 3
e 36 8 4
e 36 9 1
e 36 13 2
e 36 17 3
e 36 19 3
e 36 25 4
e 36 31 3
e 36 32 1
e 36 33 3
e 37 13 4
e 37 18 3
e 37 20 3
e 37 23 3
e 37 24 4
e 37 26 3
e 37 30 1
e 38 9 2
e 38 13 3
e 38 15 2
e 38 16 3
e 38 20 3
e 38 24 2
e 38 25 4
e 38 28 1
e 38 29 2
e 38 31 3
e 38 36 1
e 39 6 1
e 39 8 3
e 39 10 4
e 39 13 4
e 39 15 3
e 39 18 4
e 39 21 3
e 39 26 4
e 39 38 4
e 40 4 4
e 40 13 3
e 40 14 1
e 40 20 1
e 40 23 3
e 40 28 4
e 40 30 4
e 40 33 4
e 40 36 2
e 40 37 2
e 40 38 3
e 40 39 2
e 41 3 4
e 41 4 4
e 41 7 2
e 41 8 4
e 41 14 3
e 41 27 2
e 41 30 2
e 42 3 2
e 42 4 3
e 42 9 2
e 42 13 2
e 42 14 1
e 42 28 1
e 42 31 4
e 42 32 2
e 42 33 4
e 42 35 3
e 43 4 4
e 43 9 4
e 43 13 3
e 43 14 2
e 43 18 1
e 43 19 2
e 43 20 1
e 43 21 2
e 43 27 1
e 43 29 1
e 43 30 4
e 43 32 3
e 43 37 2
e 43 40 3
e 44 15 950
e 44 16 768
e 44 20 922
e 44 21 661
e 44 24 973
e 44 27 752
e 44 32 661
e 44 34 700
e 44 36 500
e 44 37 704
e 44 38 936
e 44 40 917
e 44 41 527
e 44 43 856
e 45 4 3
e 45 8 1
e 45 9 2
e 45 13 3
e 45 28 1
e 45 30 2
e 45 32 1
e 45 36 2
