DIMACS2
5 49 3 4 58 72
p edge 80 400
e 0 66 4.0
e 0 74 1.0
e 0 47 4.0
e 0 17 2.0
e 0 57 1.0
e 0 61 4.0
e 1 55 4.0
e 1 53 3.0
e 1 6 4.0
e 2 79 1.0
e 2 39 3.0
e 2 73 1.0
e 2 78 4.0
e 2 28 1.0
e 2 44 1.0
e 2 50 2.0
e 3 62 4.0
e 3 28 2.0
e 3 39 1.0
e 3 22 4.0
e 3 25 2.0
e 3 27 4.0
e 3 69 3.0
e 3 17 2.0
e 4 34 2.0
e 4 7 4.0
e 4 46 4.0
e 4 25 2.0
e 4 27 3.0
e 4 35 1.0
e 5 24 2.0
e 5 13 3.0
e 5 56 2.0
e 6 30 2.0
e 6 59 4.0
e 7 39 1.0
e 7 78 2.0
e 7 30 2.0
e 7 26 2.0
e 7 61 3.0
e 8 67 3.0
e 8 25 3.0
e 8 49 4.0
e 8 41 3.0
e 8 47 4.0
e 9 12 1.0
e 9 13 3.0
e 9 69 4.0
e 9 10 1.0
e 9 76 3.0
e 10 51 1.0
e 10 45 3.0
e 10 47 2.0
e 10 52 2.0
e 10 78 2.0
e 10 20 2.0
e 11 5 1.0
e 11 65 1.0
e 11 20 2.0
e 11 14 3.0
e 11 36 1.0
e 12 70 2.0
e 12 76 4.0
e 12 13 3.0
e 12 6 4.0
e 12 78 3.0
e 12 1 4.0
e 12 23 1.0
e 12 0 3.0
e 13 78 1.0
e 13 18 2.0
e 13 41 4.0
e 13 32 3.0
e 13 24 4.0
e 14 39 2.0
e 14 5 4.0
e 14 47 1.0
e 14 2 3.0
e 14 49 3.0
e 15 38 4.0
e 15 57 3.0
e 15 12 3.0
e 15 11 2.0
e 15 49 4.0
e 15 14 2.0
e 15 67 1.0
e 15 30 1.0
e 15 22 2.0
e 15 66 1.0
e 16 71 2.0
e 16 67 3.0
e 16 39 1.0
e 16 77 2.0
e 16 53 3.0
e 16 14 2.0
e 16 22 2.0
e 17 16 4.0
e 17 19 1.0
e 17 32 3.0
e 17 53 3.0
e 17 36 3.0
e 18 76 4.0
e 18 30 3.0
e 18 49 4.0
e 18 55 3.0
e 18 35 2.0
e 19 62 1.0
e 19 36 2.0
e 19 30 4.0
e 19 10 1.0
e 19 32 2.0
e 19 8 1.0
e 19 55 4.0
e 19 47 3.0
e 20 53 1.0
e 20 0 4.0
e 20 71 3.0
e 21 37 3.0
e 21 57 2.0
e 21 48 2.0
e 21 54 4.0
e 21 53 3.0
e 21 65 2.0
e 22 20 4.0
e 23 11 1.0
e 23 29 1.0
e 23 46 2.0
e 23 37 2.0
e 24 1 3.0
e 24 51 3.0
e 24 19 2.0
e 24 10 1.0
e 25 69 1.0
e 25 70 2.0
e 25 34 1.0
e 26 33 4.0
e 26 50 2.0
e 27 34 1.0
e 27 72 4.0
e 27 26 2.0
e 27 28 3.0
e 27 37 4.0
e 27 76 4.0
e 27 24 4.0
e 27 7 2.0
e 28 61 4.0
e 28 43 1.0
e 29 56 1.0
e 29 66 2.0
e 29 2 4.0
e 29 19 3.0
e 29 32 1.0
