DIMACS2
20 34 73 24 3 71 65 17 62 49 25 45 7 12 4 40 51 9 20 5 21
p edge 77 160
e 0 33 5.0
e 0 58 4.0
e 0 39 4.0
e 0 4 3.0
e 33 20 5.0
e 33 6 4.0
e 33 5 5.0
e 33 74 1.0
e 58 33 4.0
e 58 71 4.0
e 58 34 2.0
e 58 47 4.0
e 39 12 2.0
e 39 34 5.0
e 4 32 4.0
e 60 0 4.0
e 60 39 5.0
e 60 37 3.0
e 60 8 3.0
e 37 0 4.0
e 20 0 4.0
e 20 43 2.0
e 5 71 5.0
e 74 37 2.0
e 74 67 2.0
e 34 33 3.0
e 34 2 4.0
e 34 9 1.0
e 34 8 3.0
e 15 33 2.0
e 15 4 4.0
e 70 33 3.0
e 70 3 4.0
e 70 22 4.0
e 70 40 1.0
e 71 33 5.0
e 59 58 2.0
e 59 6 1.0
e 59 74 5.0
e 59 76 1.0
e 59 57 4.0
e 59 61 3.0
e 59 68 1.0
e 21 58 3.0
e 21 76 5.0
e 2 58 1.0
e 2 45 4.0
e 2 62 1.0
e 52 58 1.0
e 52 6 5.0
e 52 5 4.0
e 52 34 2.0
e 52 19 2.0
e 52 27 3.0
e 12 47 4.0
e 12 23 3.0
e 12 13 5.0
e 12 66 2.0
e 53 39 3.0
e 53 37 5.0
e 53 18 2.0
e 1 39 2.0
e 1 16 3.0
e 61 39 4.0
e 61 64 2.0
e 10 39 2.0
e 32 24 2.0
e 8 38 5.0
e 57 60 2.0
e 57 15 4.0
e 43 5 3.0
e 43 61 3.0
e 67 10 4.0
e 67 38 4.0
e 9 10 2.0
e 9 51 4.0
e 27 15 1.0
e 50 15 2.0
e 3 17 2.0
e 3 28 4.0
e 40 59 2.0
e 40 9 5.0
e 40 14 4.0
e 64 70 1.0
e 23 70 2.0
e 23 18 5.0
e 23 38 3.0
e 23 16 1.0
e 23 30 4.0
e 16 47 3.0
e 16 17 2.0
e 76 19 3.0
e 68 11 5.0
e 41 59 3.0
e 41 52 5.0
e 45 57 3.0
e 45 17 1.0
e 62 10 3.0
e 62 19 1.0
e 62 28 4.0
e 35 2 1.0
e 35 30 5.0
e 35 79 5.0
e 13 35 1.0
e 66 38 2.0
e 66 79 3.0
e 66 46 3.0
e 18 69 3.0
e 18 17 2.0
e 7 53 3.0
e 72 61 5.0
e 72 9 2.0
e 72 27 5.0
e 55 10 4.0
e 55 7 3.0
e 55 72 5.0
e 55 77 3.0
e 24 28 1.0
e 24 42 5.0
e 24 46 3.0
e 11 8 1.0
e 11 41 4.0
e 11 73 4.0
e 78 43 1.0
e 78 9 5.0
e 78 29 3.0
e 14 43 3.0
e 51 49 2.0
e 79 9 2.0
e 79 41 1.0
e 69 27 3.0
e 69 76 2.0
e 69 38 3.0
e 56 27 5.0
e 17 64 3.0
e 17 55 1.0
e 28 48 1.0
e 28 29 1.0
e 28 75 3.0
e 49 3 1.0
e 49 66 4.0
e 49 75 3.0
e 29 3 5.0
e 29 30 1.0
e 75 64 5.0
e 26 64 2.0
e 26 17 2.0
e 30 51 3.0
e 77 23 4.0
e 65 62 4.0
e 25 13 2.0
e 25 38 5.0
e 25 28 5.0
e 25 77 5.0
e 25 48 1.0
e 46 18 1.0
e 36 72 5.0
e 42 17 1.0
e 73 46 4.0
e 63 75 3.0
