DIMACS2
10 80 94 33 140 130 74 137 129 40 49
p edge 160 640
e 0 86 82.0
e 0 74 96.0
e 0 78 38.0
e 0 77 37.0
e 0 62 27.0
e 0 6 97.0
e 0 144 85.0
e 0 85 42.0
e 1 71 61.0
e 1 84 20.0
e 1 113 51.0
e 1 65 36.0
e 2 65 38.0
e 2 139 28.0
e 2 87 26.0
e 2 72 29.0
e 3 118 49.0
e 3 89 35.0
e 3 57 16.0
e 3 157 89.0
e 4 98 98.0
e 4 116 46.0
e 5 128 34.0
e 5 127 11.0
e 5 15 93.0
e 5 92 91.0
e 6 145 47.0
e 6 36 31.0
e 6 142 72.0
e 6 77 10.0
e 6 10 51.0
e 6 102 12.0
e 7 99 38.0
e 7 125 14.0
e 7 52 92.0
e 8 132 41.0
e 8 45 75.0
e 9 47 36.0
e 9 98 29.0
e 9 8 11.0
e 9 38 77.0
e 10 96 29.0
e 10 116 38.0
e 10 127 99.0
e 10 86 22.0
e 10 158 6.0
e 10 111 6.0
e 10 0 86.0
e 11 10 82.0
e 11 144 50.0
e 11 115 11.0
e 12 71 63.0
e 12 91 42.0
e 12 154 51.0
e 12 68 46.0
e 12 18 68.0
e 12 126 15.0
e 12 14 19.0
e 12 2 41.0
e 12 112 42.0
e 13 147 88.0
e 13 126 39.0
e 14 22 11.0
e 14 16 27.0
e 14 88 36.0
e 14 143 11.0
e 14 17 65.0
e 14 76 69.0
e 14 102 71.0
e 14 65 35.0
e 15 105 17.0
e 15 50 99.0
e 15 19 30.0
e 15 117 39.0
e 16 59 74.0
e 17 60 62.0
e 17 125 76.0
e 17 50 56.0
e 17 135 76.0
e 17 153 60.0
e 18 87 82.0
e 18 108 59.0
e 18 155 61.0
e 18 85 77.0
e 18 45 57.0
e 19 9 91.0
e 19 141 23.0
e 20 13 14.0
e 20 123 94.0
e 20 101 33.0
e 20 99 86.0
e 20 112 85.0
e 20 116 66.0
e 21 51 89.0
e 22 56 78.0
e 22 10 89.0
e 22 146 93.0
e 22 65 69.0
e 23 48 42.0
e 23 40 96.0
e 23 5 66.0
e 23 82 81.0
e 23 155 75.0
e 24 70 81.0
e 24 100 4.0
e 24 65 88.0
e 24 118 48.0
e 24 53 75.0
e 24 4 22.0
e 25 36 44.0
e 25 85 31.0
e 25 110 91.0
e 25 136 37.0
e 25 39 76.0
e 26 28 65.0
e 26 70 26.0
e 26 95 10.0
e 26 130 47.0
e 27 119 27.0
e 27 137 67.0
e 27 50 78.0
e 27 148 55.0
e 27 89 60.0
e 27 140 45.0
e 27 116 31.0
e 27 57 99.0
e 27 68 31.0
e 28 88 10.0
e 28 19 26.0
e 28 94 56.0
e 29 60 88.0
e 29 156 69.0
e 29 95 20.0
e 29 81 75.0
e 30 26 66.0
e 30 128 1.0
e 31 72 13.0
e 31 132 25.0
e 31 63 74.0
e 31 146 99.0
e 31 109 52.0
e 31 49 33.0
e 31 117 91.0
e 31 140 23.0
e 32 82 78.0
e 32 103 76.0
e 32 114 22.0
e 32 79 19.0
e 32 140 2.0
e 32 118 54.0
e 32 76 72.0
e 32 98 48.0
e 32 128 39.0
e 32 47 90.0
e 32 91 83.0
e 33 10 2.0
e 33 143 62.0
e 33 148 41.0
e 33 37 62.0
e 34 39 60.0
e 34 13 24.0
e 34 85 17.0
e 34 130 37.0
e 34 148 84.0
e 35 86 5.0
e 35 83 93.0
e 35 7 52.0
e 35 16 77.0
e 36 31 47.0
e 37 134 80.0
e 37 16 66.0
e 37 54 20.0
e 37 153 61.0
e 37 90 15.0
e 38 146 2.0
e 38 66 13.0
e 39 145 72.0
e 39 57 100.0
e 39 23 85.0
e 39 14 9.0
e 40 98 10.0
e 40 46 73.0
e 40 151 78.0
e 41 44 90.0
e 41 45 38.0
e 42 52 17.0
e 42 59 80.0
e 42 32 9.0
e 42 135 39.0
e 43 134 96.0
e 43 98 76.0
e 43 122 41.0
e 43 85 36.0
e 44 42 88.0
e 44 45 31.0
e 44 118 9.0
e 44 43 44.0
e 44 13 98.0
e 45 100 50.0
e 45 97 16.0
e 45 27 73.0
e 45 60 80.0
e 45 17 68.0
e 46 157 3.0
e 47 44 29.0
e 47 52 21.0
e 47 159 91.0
e 47 93 56.0
e 48 1 42.0
e 48 129 99.0
e 48 136 93.0
e 49 7 25.0
e 49 116 51.0
e 50 49 19.0
e 50 46 54.0
e 50 155 16.0
e 50 103 60.0
e 51 98 57.0
e 51 159 93.0
e 51 66 86.0
e 52 134 18.0
e 52 98 91.0
e 52 4 57.0
e 53 93 49.0
e 53 151 86.0
e 53 79 5.0
e 54 73 86.0
e 54 137 91.0
e 54 104 21.0
e 55 145 19.0
e 55 76 2.0
e 56 158 10.0
e 56 15 86.0
e 56 32 19.0
e 56 125 98.0
e 57 130 65.0
e 57 60 76.0
e 57 102 60.0
e 58 110 16.0
e 58 68 86.0
e 58 151 97.0
e 58 82 70.0
e 58 21 99.0
e 58 56 46.0
e 59 105 74.0
e 59 8 12.0
e 60 50 40.0
e 60 73 62.0
e 60 128 66.0
e 60 99 13.0
e 60 12 77.0
e 60 35 56.0
e 60 142 30.0
e 60 26 32.0
e 61 12 100.0
e 61 92 69.0
e 61 109 16.0
e 61 91 8.0
e 61 159 72.0
e 62 84 6.0
e 62 13 14.0
e 62 75 26.0
e 62 128 85.0
e 63 7 40.0
e 63 36 65.0
e 63 104 19.0
e 63 41 15.0
e 64 71 45.0
e 64 62 43.0
e 65 30 37.0
e 65 43 31.0
e 65 12 100.0
e 66 57 22.0
e 66 140 2.0
e 66 37 86.0
e 66 17 1.0
e 67 29 37.0
e 67 11 79.0
e 68 140 56.0
e 68 50 43.0
e 68 71 59.0
e 68 2 99.0
e 68 92 80.0
e 69 46 74.0
e 69 16 58.0
e 69 112 26.0
e 69 50 6.0
e 70 74 68.0
e 70 157 86.0
e 70 62 37.0
e 70 44 46.0
e 70 79 30.0
e 71 135 98.0
e 71 77 90.0
e 71 73 46.0
e 72 9 99.0
e 72 67 75.0
e 72 6 59.0
e 72 28 30.0
e 73 145 13.0
e 73 35 27.0
e 73 13 69.0
e 73 151 19.0
e 73 82 61.0
e 73 74 92.0
e 74 29 70.0
e 74 89 43.0
e 74 5 53.0
e 74 18 5.0
e 75 110 70.0
e 75 19 13.0
e 75 87 84.0
e 75 88 33.0
e 76 125 2.0
e 76 157 44.0
e 76 124 23.0
e 76 117 70.0
e 76 36 96.0
e 77 70 13.0
e 77 139 55.0
e 77 111 35.0
e 77 55 3.0
e 77 8 88.0
e 78 91 85.0
e 78 70 95.0
e 79 65 90.0
e 79 35 71.0
e 79 55 76.0
e 79 132 64.0
e 80 72 41.0
e 81 111 53.0
e 81 103 8.0
e 81 141 59.0
e 81 23 37.0
e 81 116 31.0
e 81 130 8.0
e 81 80 55.0
e 82 136 37.0
e 82 88 76.0
e 83 101 37.0
e 83 149 55.0
e 83 63 94.0
e 83 113 41.0
e 84 127 61.0
e 84 33 23.0
e 84 157 59.0
e 84 10 75.0
e 84 66 32.0
e 85 111 83.0
e 85 146 16.0
e 85 113 72.0
e 86 141 77.0
e 86 88 42.0
e 86 19 23.0
e 86 28 100.0
e 86 100 72.0
e 86 61 89.0
e 87 126 13.0
e 87 56 37.0
e 87 11 38.0
e 88 94 39.0
e 88 145 41.0
e 89 101 66.0
e 89 78 92.0
e 90 126 32.0
e 91 140 70.0
e 91 57 7.0
e 91 40 40.0
e 91 94 1.0
e 91 93 100.0
e 91 142 66.0
e 91 139 94.0
e 92 52 69.0
e 92 109 58.0
e 92 132 22.0
e 92 95 42.0
e 93 23 42.0
e 93 1 37.0
e 93 101 30.0
e 93 125 86.0
e 93 122 65.0
e 94 76 79.0
e 94 77 75.0
e 95 99 99.0
e 95 41 4.0
e 95 39 49.0
e 96 93 68.0
e 96 132 91.0
e 96 49 30.0
e 96 75 36.0
e 96 128 48.0
e 96 159 33.0
e 97 47 27.0
e 97 148 96.0
e 98 123 98.0
e 98 88 58.0
e 98 102 90.0
e 98 89 74.0
e 99 54 12.0
e 99 39 38.0
e 100 129 85.0
e 101 150 60.0
e 101 55 60.0
e 102 76 12.0
e 102 64 27.0
e 102 87 28.0
e 103 117 85.0
e 103 54 5.0
e 103 123 77.0
e 103 69 36.0
e 103 19 22.0
e 103 91 89.0
e 106 15 4.0
e 106 8 19.0
e 106 20 91.0
e 106 69 35.0
e 106 59 24.0
e 107 36 50.0
e 107 27 81.0
e 107 46 37.0
e 107 158 3.0
e 107 21 8.0
e 107 40 23.0
e 108 92 70.0
e 108 85 18.0
e 108 155 20.0
e 108 66 100.0
e 108 122 10.0
e 108 137 37.0
e 110 77 70.0
e 110 35 93.0
e 110 67 7.0
e 110 24 14.0
e 110 124 28.0
e 110 113 44.0
e 111 126 17.0
e 111 56 83.0
e 111 134 24.0
e 112 124 38.0
e 112 25 67.0
e 112 44 66.0
e 112 19 74.0
e 112 90 63.0
e 112 58 10.0
e 113 157 80.0
e 113 28 24.0
e 113 103 11.0
e 114 92 22.0
e 114 135 60.0
e 114 73 65.0
e 115 2 48.0
e 115 146 92.0
e 116 127 86.0
e 116 55 62.0
e 117 159 97.0
e 117 39 100.0
e 117 115 38.0
e 117 144 6.0
e 117 127 43.0
e 117 43 73.0
e 118 40 85.0
e 118 79 100.0
e 118 16 51.0
e 118 111 62.0
e 119 12 13.0
e 119 122 21.0
e 119 142 15.0
e 120 72 40.0
e 120 96 10.0
e 120 152 48.0
e 120 69 94.0
e 120 76 21.0
e 120 137 51.0
e 120 30 54.0
e 120 66 21.0
e 120 68 79.0
e 121 89 54.0
e 121 138 53.0
e 121 49 50.0
e 121 70 5.0
e 121 5 88.0
e 122 133 67.0
e 122 103 29.0
e 122 82 44.0
e 122 88 7.0
e 122 125 69.0
e 122 139 35.0
e 122 26 55.0
e 123 5 99.0
e 123 42 75.0
e 123 7 98.0
e 123 58 84.0
e 123 105 54.0
e 123 113 46.0
e 123 3 77.0
e 124 122 57.0
e 124 25 3.0
e 124 87 89.0
e 125 37 30.0
e 125 61 73.0
e 125 83 26.0
e 125 16 22.0
e 126 62 83.0
e 126 81 44.0
e 126 121 45.0
e 126 103 30.0
e 126 83 61.0
e 127 128 25.0
e 127 22 16.0
e 127 134 89.0
e 127 73 54.0
e 127 119 11.0
e 128 135 89.0
e 128 85 2.0
e 128 27 55.0
e 129 146 71.0
e 129 115 90.0
e 129 82 19.0
e 129 147 91.0
e 130 113 18.0
e 130 87 31.0
e 130 10 86.0
e 130 5 7.0
e 130 4 7.0
e 130 140 98.0
e 130 23 46.0
e 131 154 55.0
e 131 57 23.0
e 131 142 44.0
e 131 28 50.0
e 132 66 65.0
e 132 134 45.0
e 132 39 75.0
e 132 5 33.0
e 133 115 5.0
e 133 132 16.0
e 133 13 3.0
e 134 57 37.0
e 135 131 47.0
e 135 123 24.0
e 135 85 91.0
e 135 134 86.0
e 136 57 72.0
e 136 147 20.0
e 136 70 62.0
e 137 103 59.0
e 137 133 93.0
e 137 33 50.0
e 137 53 5.0
e 137 140 4.0
e 137 36 56.0
e 137 86 31.0
e 137 150 98.0
e 138 32 28.0
e 138 123 11.0
e 138 82 8.0
e 138 148 78.0
e 138 107 95.0
e 139 16 87.0
e 139 65 87.0
e 139 134 13.0
e 139 46 44.0
e 139 73 92.0
e 140 81 50.0
e 140 65 3.0
e 141 0 41.0
e 141 15 35.0
e 141 103 77.0
e 142 54 65.0
e 142 43 40.0
e 142 125 31.0
e 142 22 94.0
e 143 81 68.0
e 143 144 21.0
e 143 17 5.0
e 143 80 35.0
e 144 78 53.0
e 144 10 8.0
e 144 146 63.0
e 144 92 85.0
e 144 3 89.0
e 144 54 16.0
e 145 156 55.0
e 145 153 62.0
e 145 108 81.0
e 146 158 11.0
e 146 20 79.0
e 146 33 69.0
e 146 145 5.0
e 146 59 62.0
e 146 136 66.0
e 146 127 44.0
e 146 103 44.0
e 147 146 51.0
e 147 7 32.0
e 147 87 87.0
e 148 84 24.0
e 148 24 3.0
e 148 75 82.0
e 148 1 98.0
e 149 105 15.0
e 149 137 11.0
e 149 77 74.0
e 149 85 55.0
e 149 111 66.0
e 150 83 63.0
e 150 153 42.0
e 150 80 30.0
e 151 9 74.0
e 152 126 86.0
e 152 43 81.0
e 153 14 52.0
e 153 95 48.0
e 153 36 51.0
e 153 29 30.0
e 153 110 28.0
e 153 147 16.0
e 154 147 28.0
e 154 50 36.0
e 154 130 82.0
e 154 135 4.0
e 155 3 4.0
e 155 54 16.0
e 155 51 60.0
e 156 69 24.0
e 156 54 70.0
e 157 42 94.0
e 157 30 75.0
e 157 73 68.0
e 157 9 32.0
e 158 2 97.0
e 158 55 68.0
e 158 93 7.0
e 158 132 64.0
e 158 27 94.0
e 159 1 61.0
e 159 5 78.0
e 159 151 43.0
e 159 10 32.0
e 159 94 15.0
