DIMACS2
40 74 38 129 54 9 61 45 155 77 105 109 1 84 137 78 0 114 23 8 16 133 25 86 51 111 72 71 83 101 46 122 158 159 32 126 44 148 151 60 156
p edge 160 640
e 0 96 91.0
e 0 133 51.0
e 0 67 62.0
e 0 107 10.0
e 1 124 97.0
e 1 52 85.0
e 1 95 23.0
e 1 67 45.0
e 1 127 22.0
e 1 82 100.0
e 1 75 34.0
e 1 150 78.0
e 1 24 28.0
e 1 134 86.0
e 2 92 93.0
e 2 138 93.0
e 2 46 38.0
e 2 156 6.0
e 3 131 100.0
e 3 73 10.0
e 4 95 99.0
e 4 93 82.0
e 4 18 47.0
e 4 124 21.0
e 5 121 90.0
e 5 12 59.0
e 5 90 74.0
e 5 146 48.0
e 5 19 38.0
e 6 137 47.0
e 7 74 53.0
e 7 86 25.0
e 7 101 72.0
e 7 16 86.0
e 8 85 28.0
e 8 59 4.0
e 8 34 6.0
e 8 68 18.0
e 8 134 21.0
e 9 138 11.0
e 9 21 21.0
e 9 80 45.0
e 9 29 18.0
e 9 131 48.0
e 10 0 70.0
e 10 62 37.0
e 11 55 32.0
e 11 19 86.0
e 11 112 89.0
e 11 60 81.0
e 11 13 3.0
e 11 79 32.0
e 11 37 92.0
e 12 16 72.0
e 12 19 88.0
e 12 63 32.0
e 13 61 8.0
e 13 110 70.0
e 14 94 9.0
e 14 141 60.0
e 14 21 66.0
e 14 99 89.0
e 15 32 19.0
e 15 39 41.0
e 15 121 93.0
e 15 33 1.0
e 16 89 34.0
e 16 17 68.0
e 16 85 6.0
e 16 5 36.0
e 17 103 1.0
e 17 58 82.0
e 17 156 59.0
e 17 11 21.0
e 18 93 44.0
e 18 154 64.0
e 18 37 86.0
e 18 68 66.0
e 18 35 62.0
e 18 88 38.0
e 18 144 79.0
e 18 152 61.0
e 19 28 65.0
e 20 41 14.0
e 20 77 89.0
e 21 70 22.0
e 21 16 82.0
e 21 111 34.0
e 21 83 62.0
e 22 58 38.0
e 22 147 87.0
e 22 128 23.0
e 24 145 1.0
e 24 104 40.0
e 24 54 91.0
e 24 101 10.0
e 24 39 64.0
e 24 151 83.0
e 25 29 55.0
e 25 20 86.0
e 25 128 79.0
e 25 60 86.0
e 25 75 38.0
e 25 96 59.0
e 26 116 91.0
e 26 21 55.0
e 26 45 27.0
e 27 17 94.0
e 27 134 95.0
e 27 57 50.0
e 27 119 53.0
e 27 9 28.0
e 27 63 23.0
e 28 78 70.0
e 28 136 32.0
e 28 76 93.0
e 29 108 32.0
e 29 59 33.0
e 30 96 3.0
e 30 38 36.0
e 30 144 19.0
e 30 66 34.0
e 30 44 45.0
e 31 32 29.0
e 31 16 77.0
e 32 10 49.0
e 32 1 71.0
e 32 16 35.0
e 32 94 81.0
e 32 111 12.0
e 32 49 83.0
e 32 140 91.0
e 33 58 73.0
e 33 96 71.0
e 33 152 95.0
e 33 124 76.0
e 34 44 26.0
e 34 53 86.0
